Date,Open,High,Low,Close,Adj Close,Volume
1986-08-13,0.000000,0.218750,0.210938,0.210938,0.198057,18899200
1986-08-14,0.000000,0.230469,0.222656,0.222656,0.209060,4160000
1986-08-15,0.000000,0.222656,0.218750,0.218750,0.205392,4332800
1986-08-18,0.000000,0.218750,0.210938,0.210938,0.198057,2828800
1986-08-19,0.000000,0.218750,0.214844,0.214844,0.201725,2060800
1986-08-20,0.000000,0.226563,0.214844,0.214844,0.201725,684800
1986-08-21,0.000000,0.234375,0.222656,0.222656,0.209060,883200
1986-08-22,0.000000,0.230469,0.222656,0.222656,0.209060,1734400
1986-08-25,0.000000,0.222656,0.214844,0.214844,0.201725,627200
1986-08-26,0.000000,0.222656,0.214844,0.214844,0.201725,793600
1986-08-27,0.000000,0.218750,0.214844,0.214844,0.201725,2540800
1986-08-28,0.000000,0.218750,0.207031,0.207031,0.194389,1555200
1986-08-29,0.000000,0.218750,0.207031,0.207031,0.194389,1548800
1986-09-02,0.000000,0.230469,0.222656,0.222656,0.209060,1068800
1986-09-03,0.000000,0.234375,0.222656,0.222656,0.209060,403200
1986-09-04,0.000000,0.257813,0.250000,0.250000,0.234734,1804800
1986-09-05,0.000000,0.257813,0.246094,0.246094,0.231066,2137600
1986-09-08,0.000000,0.253906,0.242188,0.242188,0.227399,492800
1986-09-09,0.000000,0.261719,0.250000,0.250000,0.234734,499200
1986-09-10,0.000000,0.273438,0.261719,0.261719,0.245737,934400
1986-09-11,0.000000,0.242188,0.230469,0.230469,0.216395,1798400
1986-09-12,0.000000,0.242188,0.234375,0.234375,0.220063,1286400
1986-09-15,0.000000,0.269531,0.257813,0.257813,0.242070,998400
1986-09-16,0.000000,0.281250,0.269531,0.269531,0.253072,1254400
1986-09-17,0.000000,0.296875,0.289063,0.289063,0.271411,1356800
1986-09-18,0.000000,0.300781,0.289063,0.289063,0.271411,352000
1986-09-19,0.000000,0.300781,0.289063,0.289063,0.271411,1024000
1986-09-22,0.000000,0.289063,0.277344,0.277344,0.260408,780800
1986-09-23,0.000000,0.281250,0.269531,0.269531,0.253072,1798400
1986-09-24,0.000000,0.285156,0.273438,0.273438,0.256741,1312000
1986-09-25,0.000000,0.281250,0.265625,0.265625,0.249405,1657600
1986-09-26,0.000000,0.277344,0.265625,0.265625,0.249405,768000
1986-09-29,0.000000,0.277344,0.269531,0.269531,0.253072,473600
1986-09-30,0.000000,0.285156,0.269531,0.269531,0.253072,192000
1986-10-01,0.000000,0.285156,0.269531,0.269531,0.253072,371200
1986-10-02,0.000000,0.285156,0.269531,0.269531,0.253072,224000
1986-10-03,0.000000,0.281250,0.269531,0.269531,0.253072,44800
1986-10-06,0.000000,0.285156,0.273438,0.273438,0.256741,128000
1986-10-07,0.000000,0.285156,0.273438,0.273438,0.256741,198400
1986-10-08,0.000000,0.285156,0.273438,0.273438,0.256741,204800
1986-10-09,0.000000,0.285156,0.273438,0.273438,0.256741,793600
1986-10-10,0.000000,0.285156,0.273438,0.273438,0.256741,224000
1986-10-13,0.000000,0.285156,0.277344,0.277344,0.260408,454400
1986-10-14,0.000000,0.289063,0.277344,0.277344,0.260408,480000
1986-10-15,0.000000,0.289063,0.277344,0.277344,0.260408,352000
1986-10-16,0.000000,0.289063,0.277344,0.277344,0.260408,352000
1986-10-17,0.000000,0.289063,0.277344,0.277344,0.260408,83200
1986-10-20,0.000000,0.289063,0.277344,0.277344,0.260408,44800
1986-10-21,0.000000,0.292969,0.285156,0.285156,0.267743,326400
1986-10-22,0.000000,0.296875,0.289063,0.289063,0.271411,1100800
1986-10-23,0.000000,0.300781,0.292969,0.292969,0.275079,742400
1986-10-24,0.000000,0.324219,0.316406,0.316406,0.297085,1651200
1986-10-27,0.000000,0.328125,0.320313,0.320313,0.300753,729600
1986-10-28,0.000000,0.328125,0.320313,0.320313,0.300753,1804800
1986-10-29,0.000000,0.359375,0.351563,0.351563,0.330095,11667200
1986-10-30,0.000000,0.375000,0.371094,0.371094,0.348433,2150400
1986-10-31,0.000000,0.371094,0.365234,0.365234,0.342931,1990400
1986-11-03,0.000000,0.363281,0.351563,0.351563,0.330095,1388800
1986-11-04,0.000000,0.351563,0.343750,0.343750,0.322759,2003200
1986-11-05,0.000000,0.351563,0.339844,0.339844,0.319092,1094400
1986-11-06,0.000000,0.355469,0.347656,0.347656,0.326427,2329600
1986-11-07,0.000000,0.363281,0.351563,0.351563,0.330095,1094400
1986-11-10,0.000000,0.367188,0.359375,0.359375,0.337430,2528000
1986-11-11,0.000000,0.363281,0.359375,0.359375,0.337430,876800
1986-11-12,0.000000,0.367188,0.359375,0.359375,0.337430,441600
1986-11-13,0.000000,0.363281,0.355469,0.355469,0.333762,550400
1986-11-14,0.000000,0.367188,0.359375,0.359375,0.337430,448000
1986-11-17,0.000000,0.363281,0.355469,0.355469,0.333762,684800
1986-11-18,0.000000,0.359375,0.347656,0.347656,0.326427,1062400
1986-11-19,0.000000,0.355469,0.347656,0.347656,0.326427,364800
1986-11-20,0.000000,0.355469,0.347656,0.347656,0.326427,454400
1986-11-21,0.000000,0.355469,0.347656,0.347656,0.326427,89600
1986-11-24,0.000000,0.355469,0.347656,0.347656,0.326427,256000
1986-11-25,0.000000,0.355469,0.347656,0.347656,0.326427,518400
1986-11-26,0.000000,0.375000,0.369141,0.369141,0.346600,1664000
1986-11-28,0.000000,0.390625,0.382813,0.382813,0.359437,518400
1986-12-01,0.000000,0.390625,0.380859,0.380859,0.357602,684800
1986-12-02,0.000000,0.394531,0.386719,0.386719,0.363104,908800
1986-12-03,0.000000,0.390625,0.382813,0.382813,0.359437,422400
1986-12-04,0.000000,0.394531,0.386719,0.386719,0.363104,1484800
