Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,3.302083,3.125000,3.145833,3.145833,219600
1980-03-18,0.000000,3.125000,2.937500,3.031250,3.031250,727200
1980-03-19,0.000000,3.083333,3.020833,3.041667,3.041667,295200
1980-03-20,0.000000,3.062500,3.010417,3.010417,3.010417,159600
1980-03-21,0.000000,3.020833,2.906250,2.916667,2.916667,130800
1980-03-24,0.000000,2.916667,2.635417,2.666667,2.666667,436800
1980-03-25,0.000000,2.750000,2.552083,2.604167,2.604167,645600
1980-03-26,0.000000,2.604167,2.427083,2.447917,2.447917,466800
1980-03-27,0.000000,2.375000,2.239583,2.375000,2.375000,1129200
1980-03-28,0.000000,2.583333,2.458333,2.541667,2.541667,666000
1980-03-31,0.000000,2.583333,2.520833,2.541667,2.541667,430800
1980-04-01,0.000000,2.770833,2.583333,2.739583,2.739583,492000
1980-04-02,0.000000,2.739583,2.614583,2.625000,2.625000,283200
1980-04-03,0.000000,2.635417,2.604167,2.635417,2.635417,226800
1980-04-07,0.000000,2.614583,2.531250,2.541667,2.541667,355200
1980-04-08,0.000000,2.625000,2.500000,2.593750,2.593750,765600
1980-04-09,0.000000,2.666667,2.583333,2.666667,2.666667,134400
1980-04-10,0.000000,2.739583,2.656250,2.739583,2.739583,174000
1980-04-11,0.000000,2.770833,2.635417,2.635417,2.635417,109200
1980-04-14,0.000000,2.645833,2.500000,2.562500,2.562500,267600
1980-04-15,0.000000,2.562500,2.520833,2.562500,2.562500,505200
1980-04-16,0.000000,2.572917,2.343750,2.354167,2.354167,358800
1980-04-17,0.000000,2.427083,2.270833,2.427083,2.427083,696000
1980-04-18,0.000000,2.468750,2.312500,2.322917,2.322917,342000
1980-04-21,0.000000,2.364583,2.281250,2.291667,2.291667,498000
1980-04-22,0.000000,2.604167,2.375000,2.562500,2.562500,880800
1980-04-23,0.000000,2.729167,2.593750,2.614583,2.614583,588000
1980-04-24,0.000000,2.812500,2.614583,2.781250,2.781250,733200
1980-04-25,0.000000,2.760417,2.687500,2.708333,2.708333,343200
1980-04-28,0.000000,2.791667,2.718750,2.729167,2.729167,372000
1980-04-29,0.000000,2.729167,2.635417,2.666667,2.666667,270000
1980-04-30,0.000000,2.625000,2.541667,2.552083,2.552083,273600
1980-05-01,0.000000,2.541667,2.458333,2.458333,2.458333,505200
1980-05-02,0.000000,2.468750,2.416667,2.468750,2.468750,282000
1980-05-05,0.000000,2.604167,2.500000,2.604167,2.604167,302400
1980-05-06,0.000000,2.729167,2.583333,2.687500,2.687500,386400
1980-05-07,0.000000,2.708333,2.656250,2.687500,2.687500,138000
1980-05-08,0.000000,2.687500,2.604167,2.604167,2.604167,225600
1980-05-09,0.000000,2.583333,2.531250,2.541667,2.541667,128400
1980-05-12,0.000000,2.614583,2.520833,2.614583,2.614583,180000
1980-05-13,0.000000,2.708333,2.656250,2.687500,2.687500,213600
1980-05-14,0.000000,2.781250,2.697917,2.770833,2.770833,345600
1980-05-15,0.000000,2.770833,2.729167,2.729167,2.729167,292800
1980-05-16,0.000000,2.739583,2.645833,2.666667,2.666667,135600
1980-05-19,0.000000,2.708333,2.666667,2.687500,2.687500,66000
1980-05-20,0.000000,2.750000,2.677083,2.750000,2.750000,453600
1980-05-21,0.000000,2.802083,2.739583,2.781250,2.781250,512400
1980-05-22,0.000000,2.916667,2.812500,2.916667,2.916667,499200
1980-05-23,0.000000,2.989583,2.895833,2.989583,2.989583,411600
1980-05-27,0.000000,3.062500,3.000000,3.010417,3.010417,247200
1980-05-28,0.000000,3.145833,3.000000,3.145833,3.145833,458400
1980-05-29,0.000000,3.208333,3.072917,3.083333,3.083333,618000
1980-05-30,0.000000,3.166667,3.031250,3.166667,3.166667,298800
1980-06-02,0.000000,3.166667,3.104167,3.104167,3.104167,208800
1980-06-03,0.000000,3.083333,3.010417,3.020833,3.020833,283200
1980-06-04,0.000000,3.072917,3.000000,3.072917,3.072917,218400
1980-06-05,0.000000,3.125000,3.020833,3.020833,3.020833,147600
1980-06-06,0.000000,3.062500,2.968750,3.000000,3.000000,428400
1980-06-09,0.000000,3.062500,2.864583,2.864583,2.864583,426000
1980-06-10,0.000000,2.968750,2.864583,2.968750,2.968750,464400
1980-06-11,0.000000,3.052083,2.958333,3.052083,3.052083,182400
1980-06-12,0.000000,3.104167,3.020833,3.093750,3.093750,404400
1980-06-13,0.000000,3.104167,3.072917,3.093750,3.093750,67200
1980-06-16,0.000000,3.093750,3.031250,3.031250,3.031250,242400
1980-06-17,0.000000,3.072917,3.052083,3.062500,3.062500,214800
1980-06-18,0.000000,3.052083,3.000000,3.020833,3.020833,606000
1980-06-19,0.000000,3.052083,2.968750,2.968750,2.968750,220800
1980-06-20,0.000000,2.937500,2.927083,2.927083,2.927083,99600
1980-06-23,0.000000,2.958333,2.916667,2.937500,2.937500,198000
1980-06-24,0.000000,2.937500,2.906250,2.937500,2.937500,102000
1980-06-25,0.000000,3.104167,2.947917,3.072917,3.072917,358800
1980-06-26,0.000000,3.125000,3.020833,3.020833,3.020833,246000
1980-06-27,0.000000,3.072917,3.010417,3.041667,3.041667,78000
1980-06-30,0.000000,3.072917,3.010417,3.041667,3.041667,205200
1980-07-01,0.000000,3.083333,3.010417,3.072917,3.072917,195600
1980-07-02,0.000000,3.177083,3.093750,3.177083,3.177083,181200
1980-07-03,0.000000,3.364583,3.166667,3.343750,3.343750,390000
1980-07-07,0.000000,3.510417,3.447917,3.458333,3.458333,355200
1980-07-08,0.000000,3.458333,3.333333,3.385417,3.385417,826800
1980-07-09,0.000000,3.500000,3.406250,3.437500,3.437500,394800
1980-07-10,0.000000,3.562500,3.427083,3.500000,3.500000,318000
1980-07-11,0.000000,3.635417,3.500000,3.614583,3.614583,433200
1980-07-14,0.000000,3.770833,3.656250,3.729167,3.729167,464400
1980-07-15,0.000000,3.822917,3.708333,3.708333,3.708333,583200
1980-07-16,0.000000,3.760417,3.604167,3.614583,3.614583,334800
1980-07-17,0.000000,3.656250,3.614583,3.645833,3.645833,255600
1980-07-18,0.000000,3.729167,3.614583,3.614583,3.614583,422400
1980-07-21,0.000000,3.656250,3.489583,3.572917,3.572917,378000
1980-07-22,0.000000,3.604167,3.541667,3.572917,3.572917,746400
1980-07-23,0.000000,3.583333,3.552083,3.562500,3.562500,398400
1980-07-24,0.000000,3.625000,3.552083,3.583333,3.583333,123600
1980-07-25,0.000000,3.583333,3.500000,3.510417,3.510417,260400
1980-07-28,0.000000,3.520833,3.458333,3.520833,3.520833,253200
1980-07-29,0.000000,3.739583,3.500000,3.739583,3.739583,1060800
1980-07-30,0.000000,4.104167,3.906250,4.031250,4.031250,711600
1980-07-31,0.000000,4.156250,4.020833,4.135417,4.135417,528000
1980-08-01,0.000000,4.291667,4.208333,4.260417,4.260417,670800
1980-08-04,0.000000,4.333333,4.218750,4.312500,4.312500,290400
1980-08-05,0.000000,4.416667,4.312500,4.364583,4.364583,508800
1980-08-06,0.000000,4.333333,4.218750,4.239583,4.239583,351600
1980-08-07,0.000000,4.270833,4.208333,4.218750,4.218750,218400
1980-08-08,0.000000,4.333333,4.260417,4.270833,4.270833,471600
1980-08-11,0.000000,4.416667,4.270833,4.416667,4.416667,542400
1980-08-12,0.000000,4.500000,4.333333,4.354167,4.354167,445200
