Date,Open,High,Low,Close,Adj Close,Volume
1993-05-12,5.291667,5.291667,5.020833,5.041667,1.804506,414000
1993-05-13,5.000000,5.000000,4.791667,4.854167,1.737397,792600
1993-05-14,4.875000,4.875000,4.791667,4.791667,1.715027,646200
1993-05-17,4.833333,4.895833,4.833333,4.895833,1.752310,68400
1993-05-18,4.895833,4.895833,4.833333,4.854167,1.737397,69000
1993-05-19,4.854167,4.875000,4.854167,4.875000,1.744853,72000
1993-05-20,4.875000,4.895833,4.854167,4.875000,1.744853,118800
1993-05-21,4.875000,4.875000,4.875000,4.875000,1.744853,13200
1993-05-24,4.833333,4.833333,4.833333,4.833333,1.729940,32400
1993-05-25,4.812500,4.854167,4.812500,4.812500,1.722483,241800
1993-05-26,4.854167,4.895833,4.854167,4.875000,1.744853,452400
1993-05-27,4.916667,4.937500,4.895833,4.916667,1.759767,1450200
1993-05-28,4.875000,4.895833,4.854167,4.895833,1.752310,928800
1993-06-01,4.916667,4.979167,4.916667,4.958333,1.774680,736200
1993-06-02,4.958333,4.979167,4.895833,4.895833,1.752310,1058400
1993-06-03,4.895833,4.895833,4.750000,4.770833,1.707570,4777200
1993-06-04,4.750000,4.750000,4.708333,4.708333,1.685200,1055400
1993-06-07,4.708333,4.708333,4.541667,4.583333,1.640460,4597200
1993-06-08,4.604167,4.666667,4.583333,4.583333,1.640460,3877800
1993-06-09,4.625000,4.687500,4.625000,4.666667,1.670287,3098400
1993-06-10,4.666667,4.666667,4.625000,4.645833,1.662831,2763000
1993-06-11,4.666667,4.687500,4.625000,4.687500,1.677744,2770800
1993-06-14,4.708333,4.708333,4.666667,4.687500,1.677744,1930200
1993-06-15,4.687500,4.687500,4.645833,4.645833,1.662831,3057000
1993-06-16,4.645833,4.666667,4.645833,4.666667,1.670287,2034000
1993-06-17,4.666667,4.666667,4.645833,4.666667,1.670287,2418000
1993-06-18,4.666667,4.812500,4.541667,4.583333,1.640460,6013800
1993-06-21,4.562500,4.583333,4.520833,4.562500,1.633004,5697600
1993-06-22,4.645833,4.666667,4.583333,4.625000,1.655373,4002000
1993-06-23,4.583333,4.604167,4.562500,4.562500,1.633004,1074600
1993-06-24,4.562500,4.583333,4.541667,4.562500,1.633004,1030800
1993-06-25,4.583333,4.604167,4.583333,4.604167,1.647918,814800
1993-06-28,4.625000,4.645833,4.604167,4.625000,1.655373,723000
1993-06-29,4.625000,4.666667,4.625000,4.645833,1.662831,736200
1993-06-30,4.687500,4.708333,4.666667,4.687500,1.677744,1228800
1993-07-01,4.687500,4.729167,4.666667,4.729167,1.692657,3960000
1993-07-02,4.750000,4.750000,4.666667,4.687500,1.677744,712800
1993-07-06,4.666667,4.666667,4.604167,4.625000,1.655373,343800
1993-07-07,4.625000,4.645833,4.562500,4.583333,1.640460,2212800
1993-07-08,4.562500,4.604167,4.562500,4.583333,1.640460,982200
1993-07-09,4.583333,4.583333,4.520833,4.541667,1.625548,819000
1993-07-12,4.541667,4.562500,4.520833,4.562500,1.633004,429600
1993-07-13,4.562500,4.604167,4.562500,4.604167,1.647918,534000
1993-07-14,4.645833,4.687500,4.625000,4.687500,1.677744,681000
1993-07-15,4.687500,4.687500,4.625000,4.645833,1.662831,678000
1993-07-16,4.583333,4.583333,4.541667,4.562500,1.633004,214200
1993-07-19,4.541667,4.562500,4.500000,4.500000,1.610634,3529800
1993-07-20,4.520833,4.541667,4.500000,4.520833,1.618090,1555800
