Date,Open,High,Low,Close,Adj Close,Volume
2022-01-19,38.000000,43.000000,38.000000,42.000000,41.621311,129900
2022-01-20,40.950001,48.369999,40.950001,45.000000,44.594261,153400
2022-01-21,43.000000,49.950001,42.950001,45.000000,44.594261,329500
2022-01-24,44.919998,45.000000,41.880001,42.799999,42.414097,110000
2022-01-25,42.500000,44.919998,41.330002,41.897999,41.520229,23500
2022-01-26,45.009998,45.060001,42.250000,43.220001,42.830311,90500
2022-01-27,47.259998,49.619999,43.750000,45.759998,45.347408,151600
2022-01-28,44.549999,47.599998,44.150002,46.750000,46.328484,43600
2022-01-31,46.000000,48.000000,46.000000,48.000000,47.567211,71300
2022-02-01,47.500000,50.000000,47.049999,49.779999,49.331165,298800
2022-02-02,50.035000,56.230000,49.799999,53.009998,52.532040,23860900
2022-02-03,52.189999,56.570000,50.299999,53.619999,53.136539,8425500
2022-02-04,52.599998,54.330002,50.119999,50.139999,49.687916,6757800
2022-02-07,50.000000,50.040001,46.000000,46.070000,45.654617,9432500
2022-02-08,45.130001,47.560001,44.169998,45.500000,45.089756,7277500
2022-02-09,44.750000,47.450001,43.880001,47.310001,46.883434,4393100
2022-02-10,45.509998,48.500000,45.380001,47.049999,46.625774,2450000
2022-02-11,46.759998,48.910000,46.060001,48.090000,47.656403,3456800
2022-02-14,48.189999,49.000000,46.990002,48.110001,47.676224,2155000
2022-02-15,47.700001,48.450001,47.200001,48.000000,47.567211,2359800
2022-02-16,47.720001,48.470001,46.950001,47.200001,46.774429,5855300
2022-02-17,46.320000,47.080002,45.189999,45.290001,44.881649,3142600
2022-02-18,45.150002,45.900002,44.799999,45.410000,45.000568,2018700
2022-02-22,45.410000,45.680000,43.490002,43.540001,43.147423,2611100
2022-02-23,43.689999,43.990002,42.180000,43.090000,42.701485,2791200
2022-02-24,43.150002,44.590000,42.220001,44.320000,44.064583,2447900
2022-02-25,44.299999,44.930000,43.740002,43.910000,43.656948,2040700
2022-02-28,43.299999,46.619999,42.459999,45.980000,45.715015,5534900
2022-03-01,45.619999,48.049999,45.349998,47.790001,47.514587,4212900
2022-03-02,48.000000,50.299999,47.330002,49.459999,49.174961,3517100
2022-03-03,49.820000,50.330002,47.547001,49.520000,49.234615,2072200
2022-03-04,49.169998,51.040001,48.250000,51.000000,50.706089,2544600
2022-03-07,51.060001,52.580002,49.869999,51.650002,51.352341,2726900
2022-03-08,51.180000,55.320000,50.849998,52.320000,52.018475,3873700
2022-03-09,52.439999,53.680000,50.590000,51.330002,51.034187,3050600
2022-03-10,50.570000,51.639999,49.270000,51.320000,51.024239,2692700
2022-03-11,51.419998,51.840000,48.290001,49.320000,49.035767,3034100
2022-03-14,51.860001,51.860001,48.590000,50.950001,50.656376,2916600
