Date,Open,High,Low,Close,Adj Close,Volume
2005-04-14,3.020000,3.050000,2.702500,2.935000,2.935000,7594000
2005-04-15,2.912500,2.925000,2.557500,2.562500,2.562500,1129200
2005-04-18,2.625000,2.705000,2.600000,2.625000,2.625000,213600
2005-04-19,2.750000,2.750000,2.640000,2.645000,2.645000,549600
2005-04-20,2.637500,2.675000,2.625000,2.650000,2.650000,34400
2005-04-21,2.650000,2.657500,2.625000,2.625000,2.625000,136000
2005-04-22,2.690000,2.742500,2.625000,2.630000,2.630000,92400
2005-04-25,2.665000,2.687500,2.627500,2.637500,2.637500,277200
2005-04-26,2.627500,2.662500,2.625000,2.625000,2.625000,132800
2005-04-27,2.625000,2.635000,2.402500,2.447500,2.447500,272000
2005-04-28,2.417500,2.540000,2.417500,2.475000,2.475000,150400
2005-04-29,2.500000,2.575000,2.500000,2.500000,2.500000,81600
2005-05-02,2.470000,2.525000,2.467500,2.477500,2.477500,62800
2005-05-03,2.495000,2.525000,2.475000,2.500000,2.500000,85600
2005-05-04,2.500000,2.525000,2.475000,2.525000,2.525000,63200
2005-05-05,2.502500,2.522500,2.475000,2.475000,2.475000,60800
2005-05-06,2.475000,2.500000,2.475000,2.500000,2.500000,72400
2005-05-09,2.522500,2.525000,2.475000,2.475000,2.475000,172400
2005-05-10,2.617500,2.937500,2.525000,2.847500,2.847500,517200
2005-05-11,2.852500,2.937500,2.825000,2.867500,2.867500,258800
2005-05-12,2.875000,2.925000,2.737500,2.827500,2.827500,225600
2005-05-13,2.897500,2.915000,2.840000,2.907500,2.907500,116400
2005-05-16,2.900000,3.225000,2.877500,3.142500,3.142500,1212400
2005-05-17,3.185000,3.685000,3.107500,3.487500,3.487500,790800
2005-05-18,3.557500,3.575000,3.412500,3.497500,3.497500,942800
2005-05-19,3.500000,3.507500,3.482500,3.497500,3.497500,125600
2005-05-20,3.500000,3.510000,3.447500,3.470000,3.470000,164800
2005-05-23,3.500000,3.505000,3.342500,3.500000,3.500000,396800
2005-05-24,3.507500,3.550000,3.475000,3.500000,3.500000,340000
2005-05-25,3.462500,3.537500,3.375000,3.512500,3.512500,225600
2005-05-26,3.487500,3.650000,3.487500,3.502500,3.502500,228000
2005-05-27,3.555000,3.562500,3.500000,3.550000,3.550000,70800
2005-05-31,3.580000,3.580000,3.422500,3.500000,3.500000,3312000
2005-06-01,3.562500,3.565000,3.395000,3.477500,3.477500,88800
2005-06-02,3.460000,3.460000,3.375000,3.390000,3.390000,205600
2005-06-03,3.385000,3.452500,3.375000,3.435000,3.435000,104000
2005-06-06,3.460000,3.500000,3.437500,3.500000,3.500000,158000
2005-06-07,3.512500,3.647500,3.505000,3.647500,3.647500,174000
2005-06-08,3.645000,3.770000,3.645000,3.725000,3.725000,304000
2005-06-09,3.725000,3.822500,3.615000,3.722500,3.722500,408000
2005-06-10,3.740000,3.895000,3.662500,3.770000,3.770000,126000
2005-06-13,3.897500,3.997500,3.800000,3.850000,3.850000,198400
2005-06-14,3.975000,3.975000,3.737500,3.770000,3.770000,216000
2005-06-15,3.730000,3.875000,3.730000,3.847500,3.847500,126800
2005-06-16,3.850000,3.875000,3.767500,3.812500,3.812500,129200
2005-06-17,3.875000,3.875000,3.750000,3.800000,3.800000,154000
2005-06-20,3.825000,3.825000,3.725000,3.752500,3.752500,132000
2005-06-21,3.737500,3.750000,3.502500,3.610000,3.610000,190000
2005-06-22,3.562500,3.565000,3.307500,3.382500,3.382500,174000
2005-06-23,3.320000,3.362500,3.125000,3.182500,3.182500,88000
2005-06-24,3.120000,3.245000,3.000000,3.000000,3.000000,867600
2005-06-27,3.040000,3.050000,2.877500,2.987500,2.987500,134000
2005-06-28,3.062500,3.130000,2.987500,3.125000,3.125000,69600
2005-06-29,3.162500,3.162500,3.062500,3.092500,3.092500,234800
2005-06-30,3.082500,3.125000,3.060000,3.100000,3.100000,100400
2005-07-01,3.100000,3.125000,3.100000,3.110000,3.110000,290400
2005-07-05,3.125000,3.132500,3.075000,3.130000,3.130000,42800
2005-07-06,3.137500,3.137500,2.977500,3.045000,3.045000,341200
2005-07-07,3.012500,3.012500,2.947500,2.947500,2.947500,44800
2005-07-08,2.935000,3.010000,2.887500,3.010000,3.010000,103200
2005-07-11,3.000000,3.125000,2.937500,3.087500,3.087500,168800
2005-07-12,3.050000,3.075000,2.937500,2.995000,2.995000,55600
2005-07-13,3.040000,3.040000,2.900000,2.930000,2.930000,62800
2005-07-14,2.937500,2.940000,2.850000,2.887500,2.887500,89200
2005-07-15,2.932500,2.937500,2.830000,2.885000,2.885000,150400
2005-07-18,2.935000,2.935000,2.885000,2.905000,2.905000,370400
2005-07-19,2.912500,2.942500,2.875000,2.880000,2.880000,82400
2005-07-20,2.910000,2.937500,2.762500,2.800000,2.800000,191200
2005-07-21,2.785000,2.942500,2.775000,2.812500,2.812500,70000
2005-07-22,2.857500,2.897500,2.805000,2.870000,2.870000,94400
2005-07-25,2.902500,2.902500,2.597500,2.607500,2.607500,187600
2005-07-26,2.625000,2.900000,2.625000,2.750000,2.750000,329600
2005-07-27,2.797500,2.797500,2.690000,2.750000,2.750000,83600
2005-07-28,2.750000,2.750000,2.707500,2.750000,2.750000,156400
2005-07-29,2.750000,2.755000,2.682500,2.755000,2.755000,248000
2005-08-01,2.797500,2.977500,2.790000,2.900000,2.900000,128800
2005-08-02,2.900000,2.937500,2.857500,2.932500,2.932500,47200
2005-08-03,2.932500,2.937500,2.865000,2.900000,2.900000,193200
2005-08-04,2.900000,2.917500,2.752500,2.770000,2.770000,51200
2005-08-05,2.862500,2.862500,2.705000,2.712500,2.712500,71200
2005-08-08,2.710000,2.710000,2.500000,2.597500,2.597500,157600
2005-08-09,2.725000,2.725000,2.560000,2.562500,2.562500,115600
2005-08-10,2.565000,2.612500,2.487500,2.550000,2.550000,103200
2005-08-11,2.587500,2.587500,2.475000,2.500000,2.500000,107600
2005-08-12,2.525000,2.562500,2.485000,2.530000,2.530000,172800
2005-08-15,2.562500,2.562500,2.500000,2.562500,2.562500,202800
2005-08-16,2.562500,2.625000,2.522500,2.562500,2.562500,561600
2005-08-17,2.537500,2.587500,2.462500,2.535000,2.535000,207600
2005-08-18,2.527500,2.925000,2.527500,2.887500,2.887500,280400
2005-08-19,2.935000,3.055000,2.935000,2.937500,2.937500,278000
2005-08-22,2.972500,3.027500,2.945000,3.022500,3.022500,100000
2005-08-23,3.072500,3.350000,3.000000,3.095000,3.095000,138000
2005-08-24,3.187500,3.230000,3.050000,3.080000,3.080000,395600
2005-08-25,3.080000,3.135000,3.025000,3.085000,3.085000,346000
2005-08-26,3.057500,3.067500,2.915000,2.922500,2.922500,197600
2005-08-29,2.945000,3.037500,2.937500,2.975000,2.975000,102400
2005-08-30,3.000000,3.050000,2.987500,3.025000,3.025000,201200
2005-08-31,3.085000,3.110000,3.035000,3.110000,3.110000,134800
2005-09-01,3.117500,3.125000,3.015000,3.025000,3.025000,32800
2005-09-02,3.012500,3.122500,3.012500,3.105000,3.105000,94400
2005-09-06,3.070000,3.145000,3.070000,3.145000,3.145000,71600
2005-09-07,3.130000,3.155000,3.060000,3.125000,3.125000,141200
2005-09-08,3.172500,3.197500,3.050000,3.087500,3.087500,27200
2005-09-09,3.095000,3.135000,3.095000,3.112500,3.112500,30400
2005-09-12,3.087500,3.175000,3.062500,3.062500,3.062500,209200
2005-09-13,3.102500,3.137500,3.040000,3.077500,3.077500,811200
2005-09-14,3.115000,3.152500,3.087500,3.120000,3.120000,763200
2005-09-15,3.112500,3.112500,3.075000,3.100000,3.100000,139600
2005-09-16,3.100000,3.107500,3.075000,3.107500,3.107500,372800
2005-09-19,3.102500,3.105000,3.015000,3.032500,3.032500,35200
2005-09-20,3.012500,3.035000,2.957500,2.990000,2.990000,76800
2005-09-21,3.027500,3.125000,2.970000,3.077500,3.077500,97200
2005-09-22,3.060000,3.060000,3.002500,3.047500,3.047500,44800
2005-09-23,3.062500,3.142500,3.062500,3.070000,3.070000,315200
2005-09-26,3.062500,3.167500,3.040000,3.115000,3.115000,58800
2005-09-27,3.125000,3.125000,3.035000,3.035000,3.035000,60000
2005-09-28,3.017500,3.025000,2.875000,2.935000,2.935000,197600
2005-09-29,2.877500,2.942500,2.875000,2.942500,2.942500,44400
2005-09-30,2.922500,2.940000,2.875000,2.905000,2.905000,412000
2005-10-03,2.887500,3.137500,2.887500,2.975000,2.975000,403600
2005-10-04,2.962500,3.112500,2.955000,3.037500,3.037500,422800
2005-10-05,3.015000,3.025000,2.972500,3.002500,3.002500,237600
2005-10-06,3.002500,3.075000,3.000000,3.040000,3.040000,199200
2005-10-07,3.050000,3.085000,3.042500,3.042500,3.042500,244400
2005-10-10,3.075000,3.100000,3.000000,3.075000,3.075000,984000
2005-10-11,3.030000,3.037500,2.887500,2.955000,2.955000,4295600
2005-10-12,2.920000,2.940000,2.777500,2.810000,2.810000,451200
2005-10-13,2.825000,2.845000,2.707500,2.710000,2.710000,519600
2005-10-14,2.732500,2.752500,2.677500,2.752500,2.752500,382000
2005-10-17,2.727500,2.877500,2.500000,2.855000,2.855000,292000
2005-10-18,2.887500,2.897500,2.827500,2.852500,2.852500,106800
2005-10-19,2.825000,2.955000,2.825000,2.930000,2.930000,84000
2005-10-20,2.935000,2.935000,2.892500,2.902500,2.902500,148000
2005-10-21,2.887500,2.937500,2.887500,2.937500,2.937500,240000
2005-10-24,2.905000,2.997500,2.892500,2.990000,2.990000,2016000
2005-10-25,2.997500,3.112500,2.972500,3.112500,3.112500,3508800
2005-10-26,3.112500,3.212500,3.025000,3.197500,3.197500,277600
2005-10-27,3.242500,3.242500,3.072500,3.110000,3.110000,550800
2005-10-28,3.125000,3.177500,3.087500,3.152500,3.152500,350000
2005-10-31,3.157500,3.285000,3.157500,3.252500,3.252500,784800
2005-11-01,3.287500,3.387500,3.262500,3.362500,3.362500,1034800
2005-11-02,3.335000,3.500000,3.125000,3.420000,3.420000,495600
2005-11-03,3.427500,3.475000,3.425000,3.450000,3.450000,213200
2005-11-04,3.440000,3.442500,3.270000,3.317500,3.317500,131200
2005-11-07,3.350000,3.355000,3.275000,3.275000,3.275000,96800
