Date,Open,High,Low,Close,Adj Close,Volume
2009-11-18,1.700000,1.750000,1.633000,1.662000,1.662000,136704000
2009-11-19,1.657000,1.712000,1.606000,1.689000,1.689000,22173000
2009-11-20,1.688000,1.696000,1.606000,1.694000,1.694000,11390000
2009-11-23,1.706000,1.717000,1.660000,1.690000,1.690000,11858000
2009-11-24,1.680000,1.705000,1.673000,1.701000,1.701000,4677000
2009-11-25,1.715000,1.728000,1.695000,1.720000,1.720000,4280000
2009-11-27,1.677000,1.768000,1.670000,1.689000,1.689000,1740000
2009-11-30,1.705000,1.732000,1.681000,1.699000,1.699000,4338000
2009-12-01,1.700000,1.724000,1.663000,1.682000,1.682000,4125000
2009-12-02,1.690000,1.690000,1.615000,1.662000,1.662000,9602000
2009-12-03,1.662000,1.686000,1.652000,1.668000,1.668000,5699000
2009-12-04,1.685000,1.730000,1.636000,1.728000,1.728000,8127000
2009-12-07,1.712000,1.761000,1.684000,1.692000,1.692000,5232000
2009-12-08,1.695000,1.695000,1.645000,1.655000,1.655000,2080000
2009-12-09,1.650000,1.725000,1.650000,1.699000,1.699000,4055000
2009-12-10,1.718000,1.718000,1.677000,1.692000,1.692000,763000
2009-12-11,1.683000,1.697000,1.666000,1.694000,1.694000,1312000
2009-12-14,1.690000,1.721000,1.681000,1.700000,1.700000,787000
2009-12-15,1.710000,1.724000,1.685000,1.700000,1.700000,2445000
2009-12-16,1.700000,1.834000,1.700000,1.825000,1.825000,7823000
2009-12-17,1.830000,1.846000,1.781000,1.795000,1.795000,6717000
2009-12-18,1.818000,1.837000,1.755000,1.758000,1.758000,19493000
2009-12-21,1.765000,1.796000,1.720000,1.763000,1.763000,3028000
2009-12-22,1.771000,1.777000,1.711000,1.723000,1.723000,2614000
2009-12-23,1.730000,1.817000,1.721000,1.796000,1.796000,4023000
2009-12-24,1.799000,1.855000,1.791000,1.836000,1.836000,2376000
2009-12-28,1.867000,1.878000,1.750000,1.773000,1.773000,5537000
2009-12-29,1.773000,1.840000,1.773000,1.835000,1.835000,3317000
2009-12-30,1.830000,1.833000,1.790000,1.802000,1.802000,1173000
2009-12-31,1.806000,1.824000,1.753000,1.757000,1.757000,1518000
2010-01-04,1.788000,1.820000,1.763000,1.800000,1.800000,3580000
2010-01-05,1.803000,1.860000,1.800000,1.839000,1.839000,4114000
2010-01-06,1.888000,1.985000,1.880000,1.941000,1.941000,9367000
