Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,3.912787,4.051820,3.912787,3.992235,0.736467,56641
1970-01-05,4.031959,4.131268,4.031959,4.131268,0.762115,116429
1970-01-06,4.131268,4.210715,4.091544,4.131268,0.762115,93143
1970-01-07,4.131268,4.190854,4.111406,4.111406,0.758451,67969
1970-01-08,4.131268,4.210715,4.131268,4.210715,0.776772,59159
1970-01-09,4.210715,4.230577,4.131268,4.170992,0.769444,79298
1970-01-12,4.170992,4.170992,4.111406,4.151130,0.765781,59788
1970-01-13,4.151130,4.151130,4.012097,4.012097,0.740131,110136
1970-01-14,4.012097,4.111406,4.012097,4.111406,0.758451,47201
1970-01-15,4.071682,4.071682,3.992235,4.012097,0.740131,69228
1970-01-16,4.012097,4.071682,3.972373,4.012097,0.740131,46572
1970-01-19,4.012097,4.071682,3.972373,4.031959,0.743795,45313
1970-01-20,4.031959,4.051820,3.932649,4.012097,0.740131,51606
1970-01-21,4.051820,4.449058,4.051820,4.329887,0.798756,147267
1970-01-22,4.329887,4.369610,4.170992,4.190854,0.773108,161742
1970-01-23,4.190854,4.210715,4.091544,4.111406,0.758451,64193
1970-01-26,4.091544,4.091544,3.892926,3.972373,0.732804,98178
1970-01-27,3.972373,3.972373,3.873064,3.972373,0.732804,56641
1970-01-28,3.932649,3.932649,3.773754,3.773754,0.696163,111394
1970-01-29,3.753893,3.753893,3.634721,3.714169,0.685172,230970
1970-01-30,3.714169,3.734031,3.654583,3.734031,0.688835,170553
1970-02-02,3.734031,3.773754,3.694307,3.773754,0.696163,138456
1970-02-03,3.773754,3.813478,3.674445,3.813478,0.703491,146008
1970-02-04,3.813478,3.813478,3.654583,3.714169,0.693844,154819
1970-02-05,3.714169,3.714169,3.634721,3.654583,0.682713,79927
1970-02-06,3.654583,3.674445,3.614859,3.654583,0.682713,115170
1970-02-09,3.654583,3.654583,3.614859,3.654583,0.682713,125240
1970-02-10,3.654583,3.654583,3.614859,3.654583,0.682713,65452
1970-02-11,3.654583,3.694307,3.634721,3.694307,0.690134,78668
1970-02-12,3.694307,3.694307,3.634721,3.654583,0.682713,70487
1970-02-13,3.654583,3.694307,3.634721,3.654583,0.682713,50348
1970-02-16,3.654583,3.674445,3.614859,3.674445,0.686423,71746
1970-02-17,3.654583,3.654583,3.575136,3.575136,0.667871,86850
1970-02-18,3.594998,3.674445,3.594998,3.614859,0.675292,84332
1970-02-19,3.614859,3.694307,3.594998,3.594998,0.671582,107618
1970-02-20,3.614859,3.734031,3.614859,3.634721,0.679003,188804
1970-02-24,3.634721,3.674445,3.634721,3.654583,0.682713,167406
1970-02-25,3.654583,3.694307,3.614859,3.654583,0.682713,202020
1970-02-26,3.654583,3.674445,3.614859,3.634721,0.679003,192580
1970-02-27,3.634721,3.813478,3.594998,3.734031,0.697555,222789
1970-03-02,3.773754,3.912787,3.773754,3.813478,0.712396,211461
1970-03-03,3.813478,3.912787,3.773754,3.912787,0.730948,124611
1970-03-04,3.912787,3.992235,3.892926,3.932649,0.734658,164889
1970-03-05,3.932649,3.972373,3.873064,3.912787,0.730948,108248
1970-03-06,3.912787,3.932649,3.813478,3.833340,0.716106,81186
1970-03-09,3.833340,3.853202,3.793616,3.813478,0.712396,67340
1970-03-10,3.813478,3.873064,3.793616,3.853202,0.719817,39649
1970-03-11,3.853202,3.873064,3.833340,3.833340,0.716106,58529
1970-03-12,3.833340,3.833340,3.773754,3.793616,0.708685,55383
1970-03-13,3.793616,3.833340,3.753893,3.833340,0.716106,59159
1970-03-16,3.833340,3.853202,3.734031,3.793616,0.708685,51606
1970-03-17,3.793616,3.813478,3.734031,3.793616,0.708685,58529
1970-03-18,3.793616,3.873064,3.734031,3.773754,0.704976,201391
1970-03-19,3.773754,3.773754,3.694307,3.734031,0.697555,58529
1970-03-20,3.734031,3.753893,3.654583,3.734031,0.697555,183769
1970-03-23,3.734031,3.773754,3.694307,3.714169,0.693844,50348
1970-03-24,3.734031,3.793616,3.734031,3.793616,0.708685,49718
1970-03-25,3.793616,3.873064,3.753893,3.853202,0.719817,174329
1970-03-26,3.853202,3.873064,3.813478,3.853202,0.719817,91255
1970-03-30,3.853202,3.892926,3.793616,3.813478,0.712396,86221
1970-03-31,3.813478,3.833340,3.773754,3.773754,0.704976,69228
1970-04-01,3.793616,3.853202,3.793616,3.813478,0.712396,75522
1970-04-02,3.813478,3.853202,3.793616,3.793616,0.708685,112653
1970-04-03,3.793616,3.833340,3.753893,3.833340,0.716106,192580
1970-04-06,3.833340,3.853202,3.773754,3.773754,0.704976,123981
1970-04-07,3.773754,3.833340,3.753893,3.833340,0.716106,78039
1970-04-08,3.833340,3.833340,3.793616,3.793616,0.708685,42166
1970-04-09,3.793616,3.813478,3.753893,3.773754,0.704976,42796
1970-04-10,3.753893,3.753893,3.694307,3.694307,0.690134,124611
1970-04-13,3.694307,3.734031,3.654583,3.714169,0.693844,148526
1970-04-14,3.714169,3.734031,3.614859,3.694307,0.690134,134051
1970-04-15,3.694307,3.753893,3.654583,3.674445,0.686423,40278
1970-04-16,3.674445,3.714169,3.436103,3.436103,0.641899,160483
1970-04-17,3.356655,3.356655,3.217622,3.336793,0.623347,260550
1970-04-20,3.336793,3.416241,3.277208,3.297070,0.615926,115170
1970-04-21,3.297070,3.376517,3.277208,3.277208,0.612216,83074
1970-04-22,3.277208,3.336793,3.277208,3.297070,0.615926,83074
1970-04-23,3.297070,3.297070,3.217622,3.297070,0.615926,100066
1970-04-24,3.297070,3.336793,3.257346,3.277208,0.612216,103213
1970-04-27,3.336793,3.336793,3.237484,3.297070,0.615926,75522
1970-04-28,3.237484,3.237484,3.138175,3.158037,0.589953,260550
1970-04-29,3.177898,3.336793,3.177898,3.336793,0.623347,103213
1970-04-30,3.336793,3.376517,3.177898,3.257346,0.608505,136568
1970-05-01,3.257346,3.277208,3.177898,3.177898,0.593664,118947
1970-05-04,3.177898,3.237484,3.098451,3.118313,0.591403,79927
1970-05-05,3.118313,3.177898,3.098451,3.098451,0.587636,70487
1970-05-06,3.098451,3.197760,3.038865,3.098451,0.587636,166777
1970-05-07,3.098451,3.118313,3.019003,3.058727,0.580103,163001
1970-05-08,3.058727,3.098451,2.979280,3.019003,0.572569,104472
1970-05-11,3.019003,3.058727,2.860109,2.959418,0.561268,890526
1970-05-12,2.959418,2.999142,2.840247,2.939556,0.557501,215866
1970-05-13,2.939556,2.939556,2.860109,2.899832,0.549967,181881
1970-05-14,2.899832,2.899832,2.820385,2.860109,0.542434,152302
1970-05-15,2.860109,2.919694,2.840247,2.899832,0.549967,212719
1970-05-18,2.899832,2.959418,2.860109,2.899832,0.549967,130275
1970-05-19,2.899832,2.899832,2.780661,2.780661,0.527366,113912
1970-05-20,2.780661,2.820385,2.661490,2.701214,0.512298,155449
1970-05-21,2.701214,2.780661,2.661490,2.780661,0.527366,137198
1970-05-22,2.780661,2.800523,2.721076,2.760799,0.523599,91885
1970-05-25,2.721076,2.721076,2.562181,2.562181,0.485930,266843
1970-05-26,2.562181,2.641628,2.562181,2.582042,0.489697,231600
1970-05-27,2.582042,2.860109,2.582042,2.800523,0.531132,173070
1970-05-28,2.899832,3.058727,2.899832,3.038865,0.576336,344253
1970-05-29,3.038865,3.177898,3.019003,3.138175,0.595170,174329
1970-06-01,3.138175,3.277208,3.098451,3.098451,0.587636,110765
1970-06-02,3.098451,3.138175,2.979280,3.038865,0.576336,189433
1970-06-03,3.038865,3.078589,2.979280,3.078589,0.583869,83703
1970-06-04,3.078589,3.098451,2.979280,2.979280,0.565035,69857
1970-06-05,2.959418,2.959418,2.899832,2.919694,0.553734,84962
1970-06-08,2.919694,2.999142,2.899832,2.919694,0.553734,83703
1970-06-09,2.919694,2.979280,2.860109,2.860109,0.542434,73004
1970-06-10,2.860109,2.919694,2.800523,2.820385,0.534900,61047
1970-06-11,2.820385,2.860109,2.760799,2.780661,0.527366,76780
1970-06-12,2.780661,2.820385,2.760799,2.780661,0.527366,54753
1970-06-15,2.780661,2.840247,2.740937,2.780661,0.527366,94402
1970-06-16,2.780661,2.860109,2.780661,2.820385,0.534900,108248
1970-06-17,2.820385,2.899832,2.820385,2.840247,0.538667,71746
1970-06-18,2.840247,2.860109,2.780661,2.820385,0.534900,54124
1970-06-19,2.820385,2.879970,2.780661,2.840247,0.538667,140974
