Date,Open,High,Low,Close,Adj Close,Volume
2010-08-06,13.000000,14.080000,12.990000,14.000000,13.160811,10678500
2010-08-09,14.000000,14.000000,13.700000,14.000000,13.160811,1819500
2010-08-10,13.770000,13.840000,13.580000,13.600000,12.784787,1579300
2010-08-11,13.250000,13.380000,12.450000,12.750000,11.985740,2588200
2010-08-12,12.260000,12.510000,12.100000,12.390000,11.647315,1780300
2010-08-13,12.250000,12.530000,11.850000,12.000000,11.280695,957600
2010-08-16,11.790000,12.230000,11.690000,11.780000,11.073880,551600
2010-08-17,11.860000,12.300000,11.750000,12.220000,11.487509,1086700
2010-08-18,12.080000,12.600000,12.000000,12.000000,11.280695,1010600
2010-08-19,11.950000,12.100000,11.310000,11.550000,10.857671,746000
2010-08-20,11.450000,11.500000,11.030000,11.150000,10.481646,450600
2010-08-23,11.280000,11.500000,10.460000,10.980000,10.321835,761800
2010-08-24,10.760000,11.300000,10.500000,10.680000,10.039820,746700
2010-08-25,10.500000,11.130000,10.230000,10.750000,10.105622,1112200
2010-08-26,10.940000,11.150000,10.800000,11.000000,10.340638,581400
2010-08-27,11.150000,11.490000,10.990000,11.110000,10.444042,370900
2010-08-30,11.010000,11.270000,11.010000,11.100000,10.434644,226900
2010-08-31,11.010000,11.230000,10.870000,11.080000,10.415842,236000
2010-09-01,11.080000,11.950000,10.760000,11.730000,11.026880,412800
2010-09-02,11.080000,11.910000,11.080000,11.870000,11.158487,98500
2010-09-03,11.900000,12.320000,11.580000,11.890000,11.177287,231400
2010-09-07,12.000000,12.360000,11.780000,12.030000,11.308894,468400
2010-09-08,11.490000,12.180000,11.420000,12.160000,11.431106,1483700
2010-09-09,12.210000,12.630000,11.510000,11.900000,11.186689,235600
2010-09-10,11.980000,12.130000,11.810000,11.980000,11.261892,362900
2010-09-13,12.090000,12.240000,11.840000,11.940000,11.224291,303900
2010-09-14,11.850000,12.250000,11.850000,12.240000,11.506310,250600
2010-09-15,12.520000,12.920000,12.350000,12.470000,11.722522,561100
2010-09-16,12.460000,12.640000,12.010000,12.020000,11.299497,323300
2010-09-17,12.010000,12.250000,11.820000,12.080000,11.355900,252300
2010-09-20,12.210000,12.970000,12.100000,12.690000,11.929336,404100
2010-09-21,12.610000,12.850000,12.360000,12.510000,11.760126,178800
2010-09-22,12.400000,12.600000,12.010000,12.180000,11.449909,184600
2010-09-23,12.000000,12.490000,11.890000,12.000000,11.280695,320800
2010-09-24,12.100000,12.370000,11.820000,12.220000,11.487509,146900
2010-09-27,12.170000,12.390000,12.020000,12.250000,11.515710,186600
2010-09-28,12.210000,12.620000,12.110000,12.610000,11.854131,168800
2010-09-29,12.630000,12.880000,12.490000,12.550000,11.797729,238500
2010-09-30,12.620000,12.950000,12.260000,12.390000,11.647315,196800
2010-10-01,12.470000,12.770000,12.260000,12.360000,11.619116,170500
2010-10-04,12.380000,12.710000,12.250000,12.350000,11.609717,140700
2010-10-05,12.430000,12.690000,12.220000,12.350000,11.609717,256900
2010-10-06,12.320000,12.490000,12.130000,12.470000,11.722522,90400
2010-10-07,12.500000,12.500000,11.610000,11.850000,11.139685,252800
2010-10-08,11.800000,12.110000,11.720000,11.980000,11.261892,251900
2010-10-11,11.950000,12.150000,11.910000,12.050000,11.327700,63700
2010-10-12,12.010000,12.300000,11.910000,12.300000,11.562713,59600
2010-10-13,12.310000,12.330000,12.020000,12.070000,11.346500,222000
2010-10-14,12.070000,12.230000,12.000000,12.150000,11.421702,223700
2010-10-15,12.350000,12.350000,11.860000,11.940000,11.224291,396200
2010-10-18,11.960000,12.290000,11.650000,12.240000,11.506310,53500
2010-10-19,12.060000,12.250000,12.010000,12.110000,11.384101,130100
2010-10-20,12.170000,12.450000,11.520000,12.200000,11.468706,124800
2010-10-21,12.110000,12.400000,12.110000,12.250000,11.515710,58800
2010-10-22,12.200000,12.610000,12.180000,12.330000,11.590915,94200
2010-10-25,12.200000,12.590000,12.200000,12.370000,11.628515,128300
2010-10-26,12.250000,12.490000,11.910000,12.280000,11.543908,186100
2010-10-27,12.280000,12.800000,12.280000,12.770000,12.004540,263800
2010-10-28,12.820000,13.350000,12.600000,13.190000,12.399364,409900
2010-10-29,13.160000,13.470000,12.880000,13.190000,12.399364,434600
2010-11-01,13.270000,13.500000,12.560000,12.690000,11.929336,432100
2010-11-02,12.900000,13.430000,12.470000,13.270000,12.474570,300900
2010-11-03,13.210000,13.800000,13.110000,13.640000,12.822390,359900
2010-11-04,13.740000,14.000000,13.530000,13.970000,13.132610,274600
2010-11-05,13.900000,14.000000,13.640000,13.970000,13.132610,175600
2010-11-08,14.000000,14.000000,13.610000,13.770000,12.944598,179900
2010-11-09,13.720000,13.950000,13.200000,13.630000,12.812990,269800
2010-11-10,13.600000,13.730000,13.050000,13.320000,12.521571,172300
2010-11-11,13.200000,13.200000,12.580000,12.860000,12.089146,317200
2010-11-12,12.690000,13.080000,12.640000,12.820000,12.051541,115700
2010-11-15,12.900000,13.140000,12.780000,12.980000,12.201951,51800
2010-11-16,12.730000,13.270000,12.630000,12.840000,12.070343,206500
2010-11-17,12.800000,12.900000,12.760000,12.800000,12.032742,67600
2010-11-18,13.000000,13.000000,12.610000,12.900000,12.126749,118700
2010-11-19,12.890000,12.900000,12.700000,12.900000,12.126749,74300
2010-11-22,12.850000,13.320000,12.840000,12.990000,12.211352,117700
