Date,Open,High,Low,Close,Adj Close,Volume
1991-10-24,1.185185,1.185185,1.130316,1.141289,1.115758,21520308
1991-10-25,1.141289,1.174211,1.141289,1.174211,1.147944,2115239
1991-10-28,1.163237,1.262003,1.163237,1.262003,1.233772,2660850
1991-10-29,1.251029,1.272977,1.251029,1.262003,1.233772,2511633
1991-10-30,1.262003,1.316872,1.262003,1.294925,1.265958,2615288
1991-10-31,1.327846,1.327846,1.272977,1.272977,1.244501,1101473
1991-11-01,1.272977,1.294925,1.251029,1.262003,1.233772,703941
1991-11-04,1.262003,1.283951,1.240055,1.240055,1.212315,609398
1991-11-05,1.272977,1.272977,1.240055,1.262003,1.233772,387281
1991-11-06,1.251029,1.262003,1.240055,1.262003,1.233772,755198
1991-11-07,1.262003,1.262003,1.240055,1.262003,1.233772,264263
1991-11-08,1.240055,1.262003,1.240055,1.240055,1.212315,321216
1991-11-11,1.240055,1.272977,1.240055,1.251029,1.223043,187945
1991-11-12,1.283951,1.283951,1.251029,1.272977,1.244501,617372
1991-11-13,1.251029,1.272977,1.251029,1.262003,1.233772,53536
1991-11-14,1.283951,1.283951,1.251029,1.283951,1.255229,210727
1991-11-15,1.251029,1.294925,1.251029,1.251029,1.223043,220978
1991-11-18,1.251029,1.262003,1.218107,1.218107,1.190858,341719
1991-11-19,1.240055,1.240055,1.031550,1.086420,1.062117,894164
1991-11-20,1.086420,1.174211,1.086420,1.152263,1.126487,455625
1991-11-21,1.185185,1.229081,1.152263,1.229081,1.201586,129853
1991-11-22,1.229081,1.240055,1.207133,1.207133,1.180130,158330
1991-11-25,1.207133,1.229081,1.185185,1.185185,1.158673,281348
1991-11-26,1.185185,1.185185,1.174211,1.185185,1.158673,58092
1991-11-27,1.174211,1.185185,1.152263,1.152263,1.126487,190223
1991-11-29,1.141289,1.185185,1.141289,1.141289,1.115758,14808
1991-12-02,1.185185,1.196159,1.152263,1.196159,1.169401,243759
1991-12-03,1.152263,1.152263,1.152263,1.152263,1.126487,2278
1991-12-04,1.185185,1.229081,1.152263,1.229081,1.201586,321216
1991-12-05,1.229081,1.229081,1.207133,1.207133,1.180130,25059
1991-12-06,1.185185,1.229081,1.185185,1.218107,1.190858,69483
1991-12-09,1.185185,1.229081,1.185185,1.196159,1.169401,33033
1991-12-10,1.207133,1.262003,1.207133,1.229081,1.201586,219839
1991-12-11,1.218107,1.262003,1.218107,1.229081,1.201586,288183
1991-12-12,1.229081,1.262003,1.229081,1.229081,1.201586,152634
1991-12-13,1.229081,1.251029,1.218107,1.251029,1.223043,167442
1991-12-16,1.251029,1.251029,1.218107,1.229081,1.201586,68344
1991-12-17,1.229081,1.262003,1.229081,1.240055,1.212315,223256
