Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,1.273850,1.251403,1.251403,0.366960,84645
1980-03-18,0.000000,1.223345,1.200898,1.200898,0.352150,240570
1980-03-19,0.000000,1.206510,1.184063,1.184063,0.347213,142560
1980-03-20,0.000000,1.122334,1.099888,1.099888,0.322530,267300
1980-03-21,0.000000,1.133558,1.111111,1.111111,0.325821,115830
1980-03-24,0.000000,1.111111,1.088664,1.088664,0.319238,294030
1980-03-25,0.000000,1.127946,1.105499,1.105499,0.324175,169290
1980-03-26,0.000000,1.127946,1.105499,1.105499,0.324175,53460
1980-03-27,0.000000,1.099888,1.077441,1.077441,0.315947,703890
1980-03-28,0.000000,1.133558,1.111111,1.111111,0.325821,133650
1980-03-31,0.000000,1.133558,1.111111,1.111111,0.325821,93555
1980-04-01,0.000000,1.133558,1.111111,1.111111,0.325821,44550
1980-04-02,0.000000,1.116723,1.094276,1.094276,0.320884,173745
1980-04-03,0.000000,1.116723,1.094276,1.094276,0.320884,102465
1980-04-07,0.000000,1.116723,1.094276,1.094276,0.320884,841995
1980-04-08,0.000000,1.111111,1.088664,1.088664,0.319238,855360
1980-04-09,0.000000,1.139169,1.116723,1.116723,0.327466,2713095
1980-04-10,0.000000,1.133558,1.111111,1.111111,0.325821,35640
1980-04-11,0.000000,1.133558,1.111111,1.111111,0.325821,142560
1980-04-14,0.000000,1.122334,1.099888,1.099888,0.322530,57915
1980-04-15,0.000000,1.122334,1.099888,1.099888,0.322530,31185
1980-04-16,0.000000,1.116723,1.094276,1.094276,0.320884,490050
1980-04-17,0.000000,1.088664,1.066218,1.066218,0.312656,93555
1980-04-18,0.000000,1.083053,1.060606,1.060606,0.311011,155925
1980-04-21,0.000000,1.083053,1.060606,1.060606,0.311011,40095
1980-04-22,0.000000,1.094276,1.071829,1.071829,0.314302,89100
1980-04-23,0.000000,0.953984,0.931538,0.931538,0.273163,663795
1980-04-24,0.000000,1.010101,0.987654,0.987654,0.289619,547965
1980-04-25,0.000000,1.004489,0.982043,0.982043,0.287973,200475
1980-04-28,0.000000,1.010101,0.987654,0.987654,0.289619,80190
1980-04-29,0.000000,1.010101,0.987654,0.987654,0.289619,338580
1980-04-30,0.000000,1.032548,1.010101,1.010101,0.296201,200475
1980-05-01,0.000000,1.026936,1.004489,1.004489,0.294555,1073655
1980-05-02,0.000000,1.021324,0.998878,0.998878,0.292910,628155
1980-05-05,0.000000,1.026936,1.004489,1.004489,0.294555,414315
1980-05-06,0.000000,1.043771,1.021324,1.021324,0.299492,227205
1980-05-07,0.000000,1.077441,1.054994,1.054994,0.309365,151470
1980-05-08,0.000000,1.094276,1.071829,1.071829,0.314302,124740
1980-05-09,0.000000,1.105499,1.083053,1.083053,0.317593,115830
1980-05-12,0.000000,1.088664,1.066218,1.066218,0.312656,138105
1980-05-13,0.000000,1.060606,1.038159,1.038159,0.304428,436590
1980-05-14,0.000000,1.094276,1.071829,1.071829,0.314302,169290
1980-05-15,0.000000,1.105499,1.083053,1.083053,0.317593,111375
1980-05-16,0.000000,1.122334,1.099888,1.099888,0.322530,53460
1980-05-19,0.000000,1.116723,1.094276,1.094276,0.320884,169290
1980-05-20,0.000000,1.116723,1.094276,1.094276,0.320884,227205
1980-05-21,0.000000,1.116723,1.094276,1.094276,0.320884,151470
1980-05-22,0.000000,1.200898,1.178451,1.178451,0.345568,472230
1980-05-23,0.000000,1.228956,1.206510,1.206510,0.353796,142560
1980-05-27,0.000000,1.223345,1.200898,1.200898,0.352150,160380
1980-05-28,0.000000,1.206510,1.184063,1.184063,0.347213,155925
1980-05-29,0.000000,1.189675,1.167228,1.167228,0.342277,115830
1980-05-30,0.000000,1.184063,1.161616,1.161616,0.340631,57915
1980-06-02,0.000000,1.184063,1.161616,1.161616,0.340631,17820
1980-06-03,0.000000,1.178451,1.156004,1.156004,0.338985,182655
1980-06-04,0.000000,1.189675,1.167228,1.167228,0.342277,106920
1980-06-05,0.000000,1.178451,1.156004,1.156004,0.338985,80190
1980-06-06,0.000000,1.172840,1.150393,1.150393,0.337340,169290
1980-06-09,0.000000,1.156004,1.133558,1.133558,0.332403,178200
1980-06-10,0.000000,1.156004,1.133558,1.133558,0.332403,35640
1980-06-11,0.000000,1.167228,1.144781,1.144781,0.335694,222750
1980-06-12,0.000000,1.150393,1.127946,1.127946,0.330758,98010
1980-06-13,0.000000,1.156004,1.133558,1.133558,0.332403,53460
1980-06-16,0.000000,1.161616,1.139169,1.139169,0.334049,49005
1980-06-17,0.000000,1.161616,1.139169,1.139169,0.334049,35640
1980-06-18,0.000000,1.144781,1.122334,1.122334,0.329112,115830
1980-06-19,0.000000,1.150393,1.127946,1.127946,0.330758,44550
1980-06-20,0.000000,1.144781,1.122334,1.122334,0.329112,115830
1980-06-23,0.000000,1.144781,1.122334,1.122334,0.329112,22275
1980-06-24,0.000000,1.156004,1.133558,1.133558,0.332403,75735
1980-06-25,0.000000,1.167228,1.144781,1.144781,0.335694,111375
1980-06-26,0.000000,1.172840,1.150393,1.150393,0.337340,142560
1980-06-27,0.000000,1.172840,1.150393,1.150393,0.337340,75735
1980-06-30,0.000000,1.172840,1.150393,1.150393,0.337340,62370
1980-07-01,0.000000,1.172840,1.150393,1.150393,0.337340,80190
1980-07-02,0.000000,1.172840,1.150393,1.150393,0.337340,62370
1980-07-03,0.000000,1.200898,1.178451,1.178451,0.345568,316305
1980-07-07,0.000000,1.206510,1.195286,1.195286,0.350504,66825
1980-07-08,0.000000,1.195286,1.184063,1.184063,0.347213,111375
1980-07-09,0.000000,1.212121,1.200898,1.200898,0.352150,249480
1980-07-10,0.000000,1.223345,1.206510,1.206510,0.353796,93555
1980-07-11,0.000000,1.234568,1.217733,1.217733,0.357087,120285
