Date,Open,High,Low,Close,Adj Close,Volume
2001-03-09,8.875000,8.875000,8.250000,8.500000,8.500000,389800
2001-03-12,8.609375,8.625000,7.500000,7.750000,7.750000,428300
2001-03-13,7.828125,7.875000,7.375000,7.687500,7.687500,294200
2001-03-14,7.250000,7.500000,7.125000,7.250000,7.250000,228100
2001-03-15,7.312500,7.375000,6.375000,6.625000,6.625000,572500
2001-03-16,6.640625,7.062500,6.625000,7.062500,7.062500,114500
2001-03-19,7.125000,7.625000,7.000000,7.125000,7.125000,174400
2001-03-20,7.109375,7.125000,7.000000,7.062500,7.062500,153600
2001-03-21,7.062500,7.062500,6.937500,7.000000,7.000000,198800
2001-03-22,7.000000,7.062500,7.000000,7.000000,7.000000,242900
2001-03-23,7.031250,7.062500,6.500000,6.687500,6.687500,298300
2001-03-26,6.625000,7.062500,6.625000,6.906250,6.906250,90100
2001-03-27,7.062500,7.062500,6.250000,6.562500,6.562500,209200
2001-03-28,6.750000,6.875000,6.000000,6.187500,6.187500,623500
2001-03-29,6.046875,6.062500,5.250000,5.437500,5.437500,238300
2001-03-30,5.375000,5.500000,4.375000,5.000000,5.000000,289100
2001-04-02,5.500000,5.875000,4.750000,5.500000,5.500000,536400
2001-04-03,5.375000,5.375000,5.031250,5.187500,5.187500,184800
2001-04-04,5.187500,5.250000,4.750000,4.875000,4.875000,190700
2001-04-05,5.062500,5.781250,5.046875,5.593750,5.593750,102800
2001-04-06,5.750000,6.750000,5.250000,6.500000,6.500000,130500
2001-04-09,6.500000,7.100000,6.500000,6.700000,6.700000,153000
2001-04-10,6.740000,6.800000,6.350000,6.400000,6.400000,70400
2001-04-11,6.410000,6.580000,6.400000,6.520000,6.520000,45500
2001-04-12,6.550000,6.580000,6.400000,6.580000,6.580000,32300
2001-04-16,6.580000,6.700000,5.630000,6.060000,6.060000,107200
2001-04-17,6.010000,6.100000,5.910000,6.100000,6.100000,32900
2001-04-18,6.100000,7.050000,6.050000,6.820000,6.820000,91700
2001-04-19,6.890000,6.920000,6.520000,6.800000,6.800000,117900
2001-04-20,6.700000,7.050000,6.500000,6.950000,6.950000,92500
2001-04-23,7.000000,7.000000,6.410000,6.950000,6.950000,30300
2001-04-24,6.890000,7.000000,6.500000,6.850000,6.850000,65200
2001-04-25,6.690000,6.850000,6.400000,6.750000,6.750000,47300
2001-04-26,6.760000,6.800000,6.650000,6.650000,6.650000,18900
2001-04-27,6.680000,8.450000,6.680000,8.240000,8.240000,214900
2001-04-30,8.210000,8.250000,8.000000,8.050000,8.050000,362200
2001-05-01,8.050000,8.100000,7.800000,8.080000,8.080000,364300
2001-05-02,8.260000,8.830000,8.060000,8.250000,8.250000,184800
2001-05-03,8.160000,8.300000,7.130000,8.100000,8.100000,137200
2001-05-04,8.050000,9.950000,8.040000,9.200000,9.200000,226100
2001-05-07,9.600000,11.490000,9.600000,10.380000,10.380000,569100
2001-05-08,10.980000,11.100000,9.740000,10.350000,10.350000,266300
2001-05-09,10.300000,10.300000,9.600000,10.020000,10.020000,68200
2001-05-10,10.050000,10.700000,9.880000,9.910000,9.910000,120400
2001-05-11,9.900000,10.050000,9.500000,9.930000,9.930000,103400
2001-05-14,9.990000,9.990000,8.300000,8.820000,8.820000,122600
2001-05-15,8.920000,9.000000,8.100000,8.100000,8.100000,113900
2001-05-16,8.080000,9.450000,7.550000,9.390000,9.390000,123600
2001-05-17,9.400000,9.400000,8.540000,8.970000,8.970000,103400
2001-05-18,8.930000,8.930000,7.700000,8.250000,8.250000,102300
2001-05-21,8.150000,8.850000,8.060000,8.430000,8.430000,201300
2001-05-22,8.900000,9.450000,8.500000,8.900000,8.900000,141900
2001-05-23,8.770000,9.550000,8.760000,9.150000,9.150000,131900
2001-05-24,9.200000,9.290000,8.800000,9.180000,9.180000,120200
2001-05-25,9.180000,9.180000,8.660000,8.780000,8.780000,98900
2001-05-29,8.880000,8.960000,8.540000,8.750000,8.750000,74900
2001-05-30,8.660000,8.700000,8.350000,8.690000,8.690000,108900
2001-05-31,8.640000,9.050000,8.610000,9.000000,9.000000,174000
2001-06-01,8.990000,9.050000,8.470000,8.710000,8.710000,63700
2001-06-04,8.740000,9.130000,8.650000,9.000000,9.000000,46400
2001-06-05,9.150000,9.300000,8.750000,9.250000,9.250000,233200
2001-06-06,9.250000,9.250000,8.440000,8.920000,8.920000,128800
2001-06-07,9.000000,9.000000,8.600000,8.750000,8.750000,75300
2001-06-08,8.900000,9.090000,8.490000,8.520000,8.520000,117100
2001-06-11,8.840000,8.840000,7.500000,7.550000,7.550000,165400
2001-06-12,7.740000,7.740000,6.720000,6.940000,6.940000,237700
2001-06-13,7.030000,7.240000,6.950000,7.080000,7.080000,118300
2001-06-14,7.000000,7.050000,6.520000,6.580000,6.580000,107800
2001-06-15,6.520000,6.900000,6.510000,6.800000,6.800000,120700
2001-06-18,6.710000,7.180000,6.500000,6.700000,6.700000,45100
2001-06-19,6.690000,6.830000,6.450000,6.460000,6.460000,56400
2001-06-20,6.450000,6.450000,6.000000,6.260000,6.260000,131800
2001-06-21,6.220000,6.880000,6.200000,6.850000,6.850000,43200
2001-06-22,6.890000,6.940000,6.500000,6.500000,6.500000,39400
2001-06-25,6.840000,6.880000,6.630000,6.700000,6.700000,100300
2001-06-26,6.820000,6.820000,6.510000,6.660000,6.660000,45000
2001-06-27,6.760000,6.800000,6.500000,6.740000,6.740000,32500
2001-06-28,6.750000,6.860000,6.400000,6.550000,6.550000,149500
2001-06-29,6.500000,6.750000,6.100000,6.100000,6.100000,150700
2001-07-02,6.140000,6.610000,6.140000,6.330000,6.330000,57900
2001-07-03,6.390000,6.600000,6.250000,6.440000,6.440000,34700
2001-07-05,6.490000,6.580000,6.370000,6.550000,6.550000,21800
2001-07-06,6.350000,6.690000,6.350000,6.500000,6.500000,47000
2001-07-09,6.640000,6.780000,6.400000,6.720000,6.720000,28800
2001-07-10,6.800000,6.800000,6.330000,6.440000,6.440000,49800
2001-07-11,6.500000,6.620000,6.330000,6.500000,6.500000,25100
2001-07-12,6.620000,6.650000,6.310000,6.500000,6.500000,24800
2001-07-13,6.500000,6.600000,6.200000,6.500000,6.500000,29700
2001-07-16,6.160000,6.430000,6.160000,6.280000,6.280000,11600
2001-07-17,6.450000,6.450000,6.100000,6.100000,6.100000,22700
2001-07-18,6.120000,6.490000,6.040000,6.150000,6.150000,18000
2001-07-19,6.400000,6.400000,6.000000,6.180000,6.180000,26800
2001-07-20,6.300000,6.490000,6.050000,6.400000,6.400000,19700
2001-07-23,6.450000,6.620000,6.150000,6.470000,6.470000,35900
2001-07-24,6.480000,6.550000,6.200000,6.400000,6.400000,28800
2001-07-25,6.990000,7.520000,6.420000,6.680000,6.680000,61300
2001-07-26,6.700000,6.750000,6.400000,6.730000,6.730000,17500
2001-07-27,6.600000,6.660000,6.130000,6.440000,6.440000,20300
2001-07-30,6.280000,6.600000,6.280000,6.500000,6.500000,38000
2001-07-31,6.590000,6.600000,6.200000,6.500000,6.500000,54000
2001-08-01,6.420000,6.670000,6.300000,6.410000,6.410000,20900
2001-08-02,6.300000,6.450000,6.250000,6.350000,6.350000,17800
2001-08-03,6.360000,6.400000,6.250000,6.250000,6.250000,26200
2001-08-06,6.300000,6.300000,5.630000,5.850000,5.850000,59000
2001-08-07,6.000000,6.050000,5.750000,6.010000,6.010000,60700
2001-08-08,5.900000,6.000000,5.500000,5.580000,5.580000,150800
2001-08-09,5.680000,5.680000,5.160000,5.530000,5.530000,74900
2001-08-10,5.540000,6.040000,5.470000,5.610000,5.610000,56800
2001-08-13,5.250000,5.450000,5.000000,5.000000,5.000000,113100
2001-08-14,5.300000,5.740000,4.810000,5.620000,5.620000,83600
2001-08-15,5.350000,5.620000,5.190000,5.500000,5.500000,25200
2001-08-16,5.690000,5.750000,5.250000,5.500000,5.500000,7900
2001-08-17,5.500000,5.500000,4.920000,5.340000,5.340000,42000
2001-08-20,5.340000,5.390000,4.950000,5.150000,5.150000,22500
2001-08-21,5.150000,5.150000,4.900000,5.070000,5.070000,28100
2001-08-22,5.340000,5.950000,5.050000,5.150000,5.150000,29500
2001-08-23,5.260000,5.670000,5.010000,5.080000,5.080000,33000
2001-08-24,5.200000,5.750000,5.010000,5.430000,5.430000,18700
2001-08-27,5.750000,5.750000,5.410000,5.560000,5.560000,10600
2001-08-28,5.610000,5.900000,5.290000,5.500000,5.500000,17900
2001-08-29,5.510000,5.770000,5.450000,5.710000,5.710000,30300
2001-08-30,5.510000,5.920000,5.470000,5.920000,5.920000,21700
2001-08-31,5.930000,6.000000,5.180000,5.720000,5.720000,64300
2001-09-04,5.200000,5.750000,4.320000,4.500000,4.500000,352000
2001-09-05,4.400000,4.600000,4.130000,4.300000,4.300000,135200
2001-09-06,4.260000,4.500000,4.260000,4.400000,4.400000,92700
2001-09-07,4.450000,4.450000,4.200000,4.300000,4.300000,15300
2001-09-10,4.200000,4.500000,4.040000,4.210000,4.210000,30100
2001-09-17,3.960000,4.440000,3.710000,4.170000,4.170000,54800
2001-09-18,4.010000,4.350000,4.000000,4.040000,4.040000,13700
2001-09-19,4.150000,4.150000,3.600000,3.950000,3.950000,38000
2001-09-20,3.810000,4.080000,3.700000,4.050000,4.050000,76500
2001-09-21,3.980000,4.230000,3.750000,4.230000,4.230000,29900
2001-09-24,4.240000,5.500000,4.000000,5.000000,5.000000,81100
2001-09-25,5.070000,5.650000,5.020000,5.600000,5.600000,75300
2001-09-26,5.800000,5.920000,5.100000,5.310000,5.310000,92100
2001-09-27,5.680000,5.680000,4.740000,5.000000,5.000000,138700
2001-09-28,5.040000,5.050000,4.600000,5.000000,5.000000,44400
2001-10-01,4.990000,4.990000,4.050000,4.150000,4.150000,70300
2001-10-02,4.200000,4.440000,4.000000,4.200000,4.200000,95100
2001-10-03,4.280000,4.670000,4.000000,4.500000,4.500000,60800
2001-10-04,4.640000,4.770000,4.390000,4.750000,4.750000,57600
2001-10-05,4.750000,4.770000,4.270000,4.480000,4.480000,18400
2001-10-08,4.360000,4.500000,4.200000,4.320000,4.320000,10600
2001-10-09,4.250000,4.750000,4.250000,4.550000,4.550000,38500
2001-10-10,4.350000,4.640000,4.150000,4.500000,4.500000,36700
2001-10-11,4.500000,4.740000,4.500000,4.700000,4.700000,32900
2001-10-12,4.610000,4.700000,4.510000,4.610000,4.610000,31800
2001-10-15,4.700000,4.700000,4.440000,4.460000,4.460000,12000
2001-10-16,4.690000,4.700000,4.270000,4.350000,4.350000,59500
2001-10-17,4.270000,4.550000,4.250000,4.250000,4.250000,56900
2001-10-18,4.350000,4.500000,4.250000,4.300000,4.300000,63000
2001-10-19,4.350000,4.350000,4.000000,4.000000,4.000000,121700
2001-10-22,3.990000,4.150000,3.900000,4.020000,4.020000,106700
2001-10-23,4.020000,4.050000,3.790000,3.850000,3.850000,121300
2001-10-24,3.940000,3.940000,3.550000,3.850000,3.850000,114200
2001-10-25,3.800000,3.800000,3.600000,3.650000,3.650000,96500
2001-10-26,3.600000,4.200000,3.600000,3.990000,3.990000,137500
2001-10-29,4.100000,4.490000,4.050000,4.270000,4.270000,105800
2001-10-30,4.400000,4.540000,4.210000,4.340000,4.340000,86700
2001-10-31,4.560000,4.930000,4.500000,4.800000,4.800000,61600
2001-11-01,4.800000,4.900000,4.460000,4.860000,4.860000,36900
2001-11-02,4.840000,4.990000,4.700000,4.800000,4.800000,17100
2001-11-05,4.800000,5.010000,4.700000,4.800000,4.800000,16700
2001-11-06,4.800000,4.800000,4.500000,4.500000,4.500000,23900
2001-11-07,4.500000,4.930000,4.000000,4.100000,4.100000,192300
2001-11-08,4.200000,4.390000,4.100000,4.300000,4.300000,62900
2001-11-09,4.310000,4.430000,4.110000,4.210000,4.210000,33100
2001-11-12,4.370000,4.480000,4.300000,4.300000,4.300000,10700
2001-11-13,4.470000,4.470000,4.030000,4.070000,4.070000,33900
2001-11-14,4.110000,4.360000,4.100000,4.200000,4.200000,29300
2001-11-15,4.140000,4.230000,4.030000,4.120000,4.120000,32600
2001-11-16,4.150000,4.400000,4.150000,4.200000,4.200000,309900
2001-11-19,4.300000,5.350000,4.300000,4.750000,4.750000,251000
2001-11-20,5.000000,5.500000,5.000000,5.150000,5.150000,454000
2001-11-21,5.060000,5.150000,4.600000,4.850000,4.850000,65200
2001-11-23,4.820000,5.100000,4.460000,5.090000,5.090000,52000
2001-11-26,5.150000,5.150000,5.000000,5.000000,5.000000,60200
2001-11-27,5.050000,5.200000,4.900000,5.000000,5.000000,32900
2001-11-28,5.030000,5.030000,4.490000,4.550000,4.550000,60300
2001-11-29,4.500000,4.600000,4.330000,4.530000,4.530000,67600
2001-11-30,4.560000,4.950000,4.350000,4.950000,4.950000,99100
2001-12-03,4.710000,4.950000,4.500000,4.500000,4.500000,38200
2001-12-04,4.650000,5.400000,4.500000,4.870000,4.870000,29700
2001-12-05,4.900000,5.000000,4.880000,5.000000,5.000000,43900
2001-12-06,5.100000,5.200000,4.450000,4.880000,4.880000,100700
2001-12-07,4.990000,5.250000,4.650000,5.250000,5.250000,33900
2001-12-10,5.270000,5.400000,5.020000,5.120000,5.120000,19400
2001-12-11,5.120000,5.140000,4.820000,5.020000,5.020000,22900
2001-12-12,5.010000,5.400000,5.000000,5.250000,5.250000,34800
2001-12-13,5.100000,5.250000,5.000000,5.110000,5.110000,16100
2001-12-14,5.050000,5.250000,5.010000,5.220000,5.220000,6300
2001-12-17,5.250000,5.500000,5.050000,5.500000,5.500000,29000
2001-12-18,5.490000,5.740000,5.360000,5.610000,5.610000,33600
2001-12-19,5.640000,5.850000,5.550000,5.750000,5.750000,32100
2001-12-20,5.820000,5.820000,5.100000,5.260000,5.260000,67500
2001-12-21,5.320000,5.750000,5.300000,5.740000,5.740000,57900
2001-12-24,5.700000,5.800000,5.560000,5.750000,5.750000,3200
2001-12-26,5.750000,5.750000,5.200000,5.410000,5.410000,14000
2001-12-27,5.640000,5.740000,5.360000,5.690000,5.690000,16800
2001-12-28,5.620000,5.730000,5.190000,5.590000,5.590000,39300
2001-12-31,5.620000,5.800000,5.430000,5.700000,5.700000,33400
2002-01-02,5.740000,5.800000,5.350000,5.690000,5.690000,28000
2002-01-03,5.400000,5.800000,5.310000,5.500000,5.500000,41400
2002-01-04,5.500000,5.850000,5.380000,5.550000,5.550000,155400
2002-01-07,5.990000,6.200000,5.800000,6.110000,6.110000,92400
2002-01-08,6.100000,6.250000,5.900000,6.120000,6.120000,18500
2002-01-09,6.270000,6.570000,6.200000,6.270000,6.270000,66700
2002-01-10,6.230000,6.600000,6.230000,6.600000,6.600000,40800
2002-01-11,6.850000,7.440000,6.650000,6.910000,6.910000,94200
2002-01-14,7.150000,7.400000,6.300000,6.900000,6.900000,50000
2002-01-15,7.200000,7.500000,6.700000,6.750000,6.750000,37900
2002-01-16,6.790000,6.790000,6.500000,6.670000,6.670000,13700
2002-01-17,6.820000,6.820000,6.300000,6.790000,6.790000,55100
2002-01-18,6.830000,6.940000,6.350000,6.400000,6.400000,29000
2002-01-22,6.840000,7.100000,6.320000,6.400000,6.400000,68600
2002-01-23,6.350000,6.600000,6.350000,6.590000,6.590000,19100
