aapl, 320193
msft, 789019
brk-b, 1067983
unh, 731766
jnj, 200406
v, 1403161
tsm, 1046179
xom, 34088
wmt, 104169
spy, 884394
jpm, 19617
pg, 80424
nvda, 1045810
lvmuy, 824046
ma, 1141391
cvx, 93410
tsla, 1318605
lly, 59478
hd, 354950
bac, 70858
pfe, 78003
ko, 21344
abbv, 1551152
baba, 1577552
nvo, 353278
pep, 77476
cost, 909832
mrk, 310158
tmo, 97745
avgo, 1730168
dhr, 313616
dis, 1744489
tm, 1094517
mcd, 63908
asml, 937966
orcl, 1341439
abt, 1800
csco, 858877
nvs, 1114448
azn, 901832
tmus, 1283699
wfc, 72971
acn, 1467373
vz, 732712
nee, 753308
nke, 320187
ups, 1090727
bmy, 14272
ms, 895421
cmcsa, 1166691
crm, 1108524
cop, 1163165
txn, 97476
adbe, 796343
pm, 1413329
lin, 1707925
unp, 100885
qcom, 804328
ry, 1000275
schw, 316709
cvs, 64803
bhp, 811809
tte, 879764
low, 60667
amgn, 318154
rtx, 101829
asti, 1350102
hsbc, 1089113
hdb, 1144967
mdt, 1613103
hon, 773840
td, 947263
axp, 4962
t, 732717
intu, 896878
intc, 50863
eqnr, 1140625
ul, 217410
qqq, 1067839
lmt, 936468
pypl, 1633917
ibm, 51143
amt, 1053507
gs, 886982
de, 315189
sbux, 829224
nflx, 1065280
bp, 313807
sny, 1121404
deo, 835403
sap, 1000184
cat, 18230
adp, 8670
rtntf, 887028
c, 831001
ci, 1739940
blk, 1364742
jd, 1549802
amd, 2488
cslly, 1274152
bti, 1303523
sony, 313838
rio, 863064
el, 1001250
ba, 12927
now, 1373715
pbr, 1119639
pld, 1045609
bud, 1668717
pdd, 1737806
syk, 310764
enb, 895728
cni, 16868
spgi, 64040
mdlz, 1103982
cb, 896159
so, 92122
duk, 1326160
gild, 882095
ibn, 1103838
bkng, 1075531
abnb, 1559720
mmc, 62709
tgt, 27419
amat, 6951
gsk, 1131399
adi, 6281
tjx, 109198
mo, 764180
bam, 1001085
noc, 1133421
regn, 872589
infy, 1067491
ge, 40545
glncy, 1524684
zts, 1555280
isrg, 1035267
eadsy, 1378580
pgr, 80661
bdx, 10795
vrtx, 875320
eog, 821189
wm, 823768
pbcry, 1463157
cp, 16875
idexy, 1438656
cci, 1051470
pnc, 713676
fisv, 798354
cme, 1156375
googl, 1652044
usb, 36104
chtr, 1091667
bx, 1393818
mmm, 66740
csx, 277948
mufg, 67088
bns, 9631
d, 715957
hca, 860730
sftby, 1065521
uber, 1543151
tfc, 92230
amzn, 1018724
team, 1650372
hum, 49071
gd, 40533
cnq, 1017413
cl, 21665
vale, 917851
bmo, 927971
aon, 315293
dmlry, 1067318
itw, 49826
oxy, 797468
snow, 1640147
bsx, 885725
atvi, 718877
cta-pa, 30554
pxd, 1038357
f, 37996
ew, 1099800
mpc, 1510295
gm, 1467858
mu, 723125
shw, 89800
lrcx, 707549
nsc, 702165
ubs, 1610520
ntes, 1110646
epd, 1061219
etn, 1551182
dg, 29534
slb, 87347
abb, 1091587
eqix, 1101239
ice, 1571949
met, 1099219
mrna, 1682852
apd, 2969
psa, 1393311
sre, 1032208
tri, 1075124
fdx, 1048911
amov, 1129137
mar, 1048286
kdp, 1418135
rbgly, 1420798
mco, 1059556
fis, 1136893
mck, 927653
klac, 319201
