ID,CATEGORY,LABEL,VALUE
us-gaap_IncomeTaxDisclosureAbstract_B482A4FBC59B9F132D01133F00E8E99E,label_id,lab_us-gaap_IncomeTaxDisclosureAbstract_B482A4FBC59B9F132D01133F00E8E99E,None
us-gaap_IncomeTaxDisclosureAbstract_B482A4FBC59B9F132D01133F00E8E99E,location_id,loc_us-gaap_IncomeTaxDisclosureAbstract_B482A4FBC59B9F132D01133F00E8E99E,None
us-gaap_IncomeTaxDisclosureAbstract_B482A4FBC59B9F132D01133F00E8E99E,us_gaap_id,us-gaap:IncomeTaxDisclosureAbstract,None
us-gaap_IncomeTaxDisclosureAbstract_B482A4FBC59B9F132D01133F00E8E99E,label_label,item_type,label_label
us-gaap_IncomeTaxDisclosureAbstract_B482A4FBC59B9F132D01133F00E8E99E,label_label,id,lab_us-gaap_IncomeTaxDisclosureAbstract_B482A4FBC59B9F132D01133F00E8E99E_label_en-US
us-gaap_IncomeTaxDisclosureAbstract_B482A4FBC59B9F132D01133F00E8E99E,label_label,label,lab_us-gaap_IncomeTaxDisclosureAbstract_B482A4FBC59B9F132D01133F00E8E99E
us-gaap_IncomeTaxDisclosureAbstract_B482A4FBC59B9F132D01133F00E8E99E,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_IncomeTaxDisclosureAbstract_B482A4FBC59B9F132D01133F00E8E99E,label_label,type,resource
us-gaap_IncomeTaxDisclosureAbstract_B482A4FBC59B9F132D01133F00E8E99E,label_label,lang,en-US
us-gaap_IncomeTaxContingencyTable_8C1A7C1250D14FFD92F1133F00EBEC94,label_id,lab_us-gaap_IncomeTaxContingencyTable_8C1A7C1250D14FFD92F1133F00EBEC94,None
us-gaap_IncomeTaxContingencyTable_8C1A7C1250D14FFD92F1133F00EBEC94,location_id,loc_us-gaap_IncomeTaxContingencyTable_8C1A7C1250D14FFD92F1133F00EBEC94,None
us-gaap_IncomeTaxContingencyTable_8C1A7C1250D14FFD92F1133F00EBEC94,us_gaap_id,us-gaap:IncomeTaxContingencyTable,None
us-gaap_IncomeTaxContingencyTable_8C1A7C1250D14FFD92F1133F00EBEC94,label_label,item_type,label_label
us-gaap_IncomeTaxContingencyTable_8C1A7C1250D14FFD92F1133F00EBEC94,label_label,id,lab_us-gaap_IncomeTaxContingencyTable_8C1A7C1250D14FFD92F1133F00EBEC94_label_en-US
us-gaap_IncomeTaxContingencyTable_8C1A7C1250D14FFD92F1133F00EBEC94,label_label,label,lab_us-gaap_IncomeTaxContingencyTable_8C1A7C1250D14FFD92F1133F00EBEC94
us-gaap_IncomeTaxContingencyTable_8C1A7C1250D14FFD92F1133F00EBEC94,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_IncomeTaxContingencyTable_8C1A7C1250D14FFD92F1133F00EBEC94,label_label,type,resource
us-gaap_IncomeTaxContingencyTable_8C1A7C1250D14FFD92F1133F00EBEC94,label_label,lang,en-US
us-gaap_SubsequentEventTypeAxis_D1DF85DF64937BCAFFDE133F00EC9A0D,label_id,lab_us-gaap_SubsequentEventTypeAxis_D1DF85DF64937BCAFFDE133F00EC9A0D,None
us-gaap_SubsequentEventTypeAxis_D1DF85DF64937BCAFFDE133F00EC9A0D,location_id,loc_us-gaap_SubsequentEventTypeAxis_D1DF85DF64937BCAFFDE133F00EC9A0D,None
us-gaap_SubsequentEventTypeAxis_D1DF85DF64937BCAFFDE133F00EC9A0D,us_gaap_id,us-gaap:SubsequentEventTypeAxis,None
us-gaap_SubsequentEventTypeAxis_D1DF85DF64937BCAFFDE133F00EC9A0D,label_label,item_type,label_label
us-gaap_SubsequentEventTypeAxis_D1DF85DF64937BCAFFDE133F00EC9A0D,label_label,id,lab_us-gaap_SubsequentEventTypeAxis_D1DF85DF64937BCAFFDE133F00EC9A0D_label_en-US
us-gaap_SubsequentEventTypeAxis_D1DF85DF64937BCAFFDE133F00EC9A0D,label_label,label,lab_us-gaap_SubsequentEventTypeAxis_D1DF85DF64937BCAFFDE133F00EC9A0D
us-gaap_SubsequentEventTypeAxis_D1DF85DF64937BCAFFDE133F00EC9A0D,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_SubsequentEventTypeAxis_D1DF85DF64937BCAFFDE133F00EC9A0D,label_label,type,resource
us-gaap_SubsequentEventTypeAxis_D1DF85DF64937BCAFFDE133F00EC9A0D,label_label,lang,en-US
us-gaap_SubsequentEventTypeDomain_0F7EA672B1B751F3508C133F00EC0853,label_id,lab_us-gaap_SubsequentEventTypeDomain_0F7EA672B1B751F3508C133F00EC0853,None
us-gaap_SubsequentEventTypeDomain_0F7EA672B1B751F3508C133F00EC0853,location_id,loc_us-gaap_SubsequentEventTypeDomain_0F7EA672B1B751F3508C133F00EC0853,None
us-gaap_SubsequentEventTypeDomain_0F7EA672B1B751F3508C133F00EC0853,us_gaap_id,us-gaap:SubsequentEventTypeDomain,None
us-gaap_SubsequentEventTypeDomain_0F7EA672B1B751F3508C133F00EC0853,label_label,item_type,label_label
us-gaap_SubsequentEventTypeDomain_0F7EA672B1B751F3508C133F00EC0853,label_label,id,lab_us-gaap_SubsequentEventTypeDomain_0F7EA672B1B751F3508C133F00EC0853_label_en-US
us-gaap_SubsequentEventTypeDomain_0F7EA672B1B751F3508C133F00EC0853,label_label,label,lab_us-gaap_SubsequentEventTypeDomain_0F7EA672B1B751F3508C133F00EC0853
us-gaap_SubsequentEventTypeDomain_0F7EA672B1B751F3508C133F00EC0853,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_SubsequentEventTypeDomain_0F7EA672B1B751F3508C133F00EC0853,label_label,type,resource
us-gaap_SubsequentEventTypeDomain_0F7EA672B1B751F3508C133F00EC0853,label_label,lang,en-US
us-gaap_SubsequentEventMember_427546FEF4EAED33C4EB133F00ECF4EA,label_id,lab_us-gaap_SubsequentEventMember_427546FEF4EAED33C4EB133F00ECF4EA,None
us-gaap_SubsequentEventMember_427546FEF4EAED33C4EB133F00ECF4EA,location_id,loc_us-gaap_SubsequentEventMember_427546FEF4EAED33C4EB133F00ECF4EA,None
us-gaap_SubsequentEventMember_427546FEF4EAED33C4EB133F00ECF4EA,us_gaap_id,us-gaap:SubsequentEventMember,None
us-gaap_SubsequentEventMember_427546FEF4EAED33C4EB133F00ECF4EA,label_label,item_type,label_label
us-gaap_SubsequentEventMember_427546FEF4EAED33C4EB133F00ECF4EA,label_label,id,lab_us-gaap_SubsequentEventMember_427546FEF4EAED33C4EB133F00ECF4EA_label_en-US
us-gaap_SubsequentEventMember_427546FEF4EAED33C4EB133F00ECF4EA,label_label,label,lab_us-gaap_SubsequentEventMember_427546FEF4EAED33C4EB133F00ECF4EA
us-gaap_SubsequentEventMember_427546FEF4EAED33C4EB133F00ECF4EA,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_SubsequentEventMember_427546FEF4EAED33C4EB133F00ECF4EA,label_label,type,resource
us-gaap_SubsequentEventMember_427546FEF4EAED33C4EB133F00ECF4EA,label_label,lang,en-US
srt_LitigationCaseAxis_B46EAF293FD0FEBE0030133F00EDA300,label_id,lab_srt_LitigationCaseAxis_B46EAF293FD0FEBE0030133F00EDA300,None
srt_LitigationCaseAxis_B46EAF293FD0FEBE0030133F00EDA300,location_id,loc_srt_LitigationCaseAxis_B46EAF293FD0FEBE0030133F00EDA300,None
srt_LitigationCaseAxis_B46EAF293FD0FEBE0030133F00EDA300,us_gaap_id,srt:LitigationCaseAxis,None
srt_LitigationCaseAxis_B46EAF293FD0FEBE0030133F00EDA300,label_label,item_type,label_label
srt_LitigationCaseAxis_B46EAF293FD0FEBE0030133F00EDA300,label_label,id,lab_srt_LitigationCaseAxis_B46EAF293FD0FEBE0030133F00EDA300_label_en-US
srt_LitigationCaseAxis_B46EAF293FD0FEBE0030133F00EDA300,label_label,label,lab_srt_LitigationCaseAxis_B46EAF293FD0FEBE0030133F00EDA300
srt_LitigationCaseAxis_B46EAF293FD0FEBE0030133F00EDA300,label_label,role,http://www.xbrl.org/2003/role/label
srt_LitigationCaseAxis_B46EAF293FD0FEBE0030133F00EDA300,label_label,type,resource
srt_LitigationCaseAxis_B46EAF293FD0FEBE0030133F00EDA300,label_label,lang,en-US
srt_LitigationCaseTypeDomain_A795618B967E78F390B4133F00ED027C,label_id,lab_srt_LitigationCaseTypeDomain_A795618B967E78F390B4133F00ED027C,None
srt_LitigationCaseTypeDomain_A795618B967E78F390B4133F00ED027C,location_id,loc_srt_LitigationCaseTypeDomain_A795618B967E78F390B4133F00ED027C,None
srt_LitigationCaseTypeDomain_A795618B967E78F390B4133F00ED027C,us_gaap_id,srt:LitigationCaseTypeDomain,None
srt_LitigationCaseTypeDomain_A795618B967E78F390B4133F00ED027C,label_label,item_type,label_label
srt_LitigationCaseTypeDomain_A795618B967E78F390B4133F00ED027C,label_label,id,lab_srt_LitigationCaseTypeDomain_A795618B967E78F390B4133F00ED027C_label_en-US
srt_LitigationCaseTypeDomain_A795618B967E78F390B4133F00ED027C,label_label,label,lab_srt_LitigationCaseTypeDomain_A795618B967E78F390B4133F00ED027C
srt_LitigationCaseTypeDomain_A795618B967E78F390B4133F00ED027C,label_label,role,http://www.xbrl.org/2003/role/label
srt_LitigationCaseTypeDomain_A795618B967E78F390B4133F00ED027C,label_label,type,resource
srt_LitigationCaseTypeDomain_A795618B967E78F390B4133F00ED027C,label_label,lang,en-US
fb_AlteraCorpVCommissionerMember_18448658E9EF8EDB421E133F00EDE9AF,label_id,lab_fb_AlteraCorpVCommissionerMember_18448658E9EF8EDB421E133F00EDE9AF,None
fb_AlteraCorpVCommissionerMember_18448658E9EF8EDB421E133F00EDE9AF,location_id,loc_fb_AlteraCorpVCommissionerMember_18448658E9EF8EDB421E133F00EDE9AF,None
fb_AlteraCorpVCommissionerMember_18448658E9EF8EDB421E133F00EDE9AF,us_gaap_id,fb:AlteraCorpVCommissionerMember,None
fb_AlteraCorpVCommissionerMember_18448658E9EF8EDB421E133F00EDE9AF,label_label,item_type,label_label
fb_AlteraCorpVCommissionerMember_18448658E9EF8EDB421E133F00EDE9AF,label_label,id,lab_fb_AlteraCorpVCommissionerMember_18448658E9EF8EDB421E133F00EDE9AF_documentation_en-US
fb_AlteraCorpVCommissionerMember_18448658E9EF8EDB421E133F00EDE9AF,label_label,label,lab_fb_AlteraCorpVCommissionerMember_18448658E9EF8EDB421E133F00EDE9AF
fb_AlteraCorpVCommissionerMember_18448658E9EF8EDB421E133F00EDE9AF,label_label,role,http://www.xbrl.org/2003/role/documentation
fb_AlteraCorpVCommissionerMember_18448658E9EF8EDB421E133F00EDE9AF,label_label,type,resource
fb_AlteraCorpVCommissionerMember_18448658E9EF8EDB421E133F00EDE9AF,label_label,lang,en-US
us-gaap_IncomeTaxAuthorityNameAxis_5C90C5B75881A06768D8133F00EDC4FD,label_id,lab_us-gaap_IncomeTaxAuthorityNameAxis_5C90C5B75881A06768D8133F00EDC4FD,None
us-gaap_IncomeTaxAuthorityNameAxis_5C90C5B75881A06768D8133F00EDC4FD,location_id,loc_us-gaap_IncomeTaxAuthorityNameAxis_5C90C5B75881A06768D8133F00EDC4FD,None
us-gaap_IncomeTaxAuthorityNameAxis_5C90C5B75881A06768D8133F00EDC4FD,us_gaap_id,us-gaap:IncomeTaxAuthorityNameAxis,None
us-gaap_IncomeTaxAuthorityNameAxis_5C90C5B75881A06768D8133F00EDC4FD,label_label,item_type,label_label
us-gaap_IncomeTaxAuthorityNameAxis_5C90C5B75881A06768D8133F00EDC4FD,label_label,id,lab_us-gaap_IncomeTaxAuthorityNameAxis_5C90C5B75881A06768D8133F00EDC4FD_label_en-US
us-gaap_IncomeTaxAuthorityNameAxis_5C90C5B75881A06768D8133F00EDC4FD,label_label,label,lab_us-gaap_IncomeTaxAuthorityNameAxis_5C90C5B75881A06768D8133F00EDC4FD
us-gaap_IncomeTaxAuthorityNameAxis_5C90C5B75881A06768D8133F00EDC4FD,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_IncomeTaxAuthorityNameAxis_5C90C5B75881A06768D8133F00EDC4FD,label_label,type,resource
us-gaap_IncomeTaxAuthorityNameAxis_5C90C5B75881A06768D8133F00EDC4FD,label_label,lang,en-US
us-gaap_IncomeTaxAuthorityNameDomain_E20ABF316D05E0488947133F00EECBB2,label_id,lab_us-gaap_IncomeTaxAuthorityNameDomain_E20ABF316D05E0488947133F00EECBB2,None
us-gaap_IncomeTaxAuthorityNameDomain_E20ABF316D05E0488947133F00EECBB2,location_id,loc_us-gaap_IncomeTaxAuthorityNameDomain_E20ABF316D05E0488947133F00EECBB2,None
us-gaap_IncomeTaxAuthorityNameDomain_E20ABF316D05E0488947133F00EECBB2,us_gaap_id,us-gaap:IncomeTaxAuthorityNameDomain,None
