FILE,LABEL,VALUE
calculation,item_type,calculation_loc
calculation,href,fb-20190930.xsd#fb_CashCashEquivalentsAndMarketableSecuritiesAtCarryingValue
calculation,label,loc_fb_CashCashEquivalentsAndMarketableSecuritiesAtCarryingValue_168E23B73399512A86C287197AA89A96
calculation,type,locator
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_CashAndCashEquivalentsAtCarryingValue
calculation,label,loc_us-gaap_CashAndCashEquivalentsAtCarryingValue_CAFC6BB921E45632AA08143A50AFA170
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_fb_CashCashEquivalentsAndMarketableSecuritiesAtCarryingValue_168E23B73399512A86C287197AA89A96
calculation,to,loc_us-gaap_CashAndCashEquivalentsAtCarryingValue_CAFC6BB921E45632AA08143A50AFA170
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_AvailableForSaleSecuritiesDebtSecuritiesCurrent
calculation,label,loc_us-gaap_AvailableForSaleSecuritiesDebtSecuritiesCurrent_50300DC9D0FE5348A0C5956FB9613655
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_fb_CashCashEquivalentsAndMarketableSecuritiesAtCarryingValue_168E23B73399512A86C287197AA89A96
calculation,to,loc_us-gaap_AvailableForSaleSecuritiesDebtSecuritiesCurrent_50300DC9D0FE5348A0C5956FB9613655
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_AvailableForSaleSecuritiesDebtSecuritiesCurrent
calculation,label,loc_us-gaap_AvailableForSaleSecuritiesDebtSecuritiesCurrent_50300DC9D0FE5348A0C5956FB9613655
calculation,type,locator
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue
calculation,label,loc_us-gaap_AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue_CA886AAC03145186A5B2BD077AC6584C
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AvailableForSaleSecuritiesDebtSecuritiesCurrent_50300DC9D0FE5348A0C5956FB9613655
calculation,to,loc_us-gaap_AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue_CA886AAC03145186A5B2BD077AC6584C
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue
calculation,label,loc_us-gaap_AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue_FF94424F32275FE59AF3EC22DFDDE05D
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AvailableForSaleSecuritiesDebtSecuritiesCurrent_50300DC9D0FE5348A0C5956FB9613655
calculation,to,loc_us-gaap_AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue_FF94424F32275FE59AF3EC22DFDDE05D
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_Assets
calculation,label,loc_us-gaap_Assets_17ef3f41-42f7-52c0-cba1-93e7e0e1116a
calculation,type,locator
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_AssetsCurrent
calculation,label,loc_us-gaap_AssetsCurrent_0b3bd361-d592-2906-279e-2682647fdd27
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Assets_17ef3f41-42f7-52c0-cba1-93e7e0e1116a
calculation,to,loc_us-gaap_AssetsCurrent_0b3bd361-d592-2906-279e-2682647fdd27
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_CashAndCashEquivalentsAtCarryingValue
calculation,label,loc_us-gaap_CashAndCashEquivalentsAtCarryingValue_1de780cc-9607-daa3-0bed-03c88ae94769
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AssetsCurrent_0b3bd361-d592-2906-279e-2682647fdd27
calculation,to,loc_us-gaap_CashAndCashEquivalentsAtCarryingValue_1de780cc-9607-daa3-0bed-03c88ae94769
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_AvailableForSaleSecuritiesDebtSecuritiesCurrent
calculation,label,loc_us-gaap_AvailableForSaleSecuritiesDebtSecuritiesCurrent_e2b10c93-5dbd-d345-d7e4-6144b8287c24
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AssetsCurrent_0b3bd361-d592-2906-279e-2682647fdd27
calculation,to,loc_us-gaap_AvailableForSaleSecuritiesDebtSecuritiesCurrent_e2b10c93-5dbd-d345-d7e4-6144b8287c24
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_AccountsReceivableNetCurrent
calculation,label,loc_us-gaap_AccountsReceivableNetCurrent_dd2cbe99-77d2-db20-3c91-750589881c79
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AssetsCurrent_0b3bd361-d592-2906-279e-2682647fdd27
calculation,to,loc_us-gaap_AccountsReceivableNetCurrent_dd2cbe99-77d2-db20-3c91-750589881c79
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_PrepaidExpenseAndOtherAssetsCurrent
calculation,label,loc_us-gaap_PrepaidExpenseAndOtherAssetsCurrent_5fd9c643-899e-95d7-aab9-c3a9d6240218
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,4
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AssetsCurrent_0b3bd361-d592-2906-279e-2682647fdd27
calculation,to,loc_us-gaap_PrepaidExpenseAndOtherAssetsCurrent_5fd9c643-899e-95d7-aab9-c3a9d6240218
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_PropertyPlantAndEquipmentNet
calculation,label,loc_us-gaap_PropertyPlantAndEquipmentNet_4246ec24-1a4c-19dd-57c9-32d4a8e0cbaa
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Assets_17ef3f41-42f7-52c0-cba1-93e7e0e1116a
calculation,to,loc_us-gaap_PropertyPlantAndEquipmentNet_4246ec24-1a4c-19dd-57c9-32d4a8e0cbaa
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_IntangibleAssetsNetExcludingGoodwill
calculation,label,loc_us-gaap_IntangibleAssetsNetExcludingGoodwill_8889606b-88fa-2d5e-3fb9-238bccdf9597
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Assets_17ef3f41-42f7-52c0-cba1-93e7e0e1116a
calculation,to,loc_us-gaap_IntangibleAssetsNetExcludingGoodwill_8889606b-88fa-2d5e-3fb9-238bccdf9597
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_Goodwill
calculation,label,loc_us-gaap_Goodwill_37b440e2-656c-b624-0688-b7cf681bf981
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,4
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Assets_17ef3f41-42f7-52c0-cba1-93e7e0e1116a
calculation,to,loc_us-gaap_Goodwill_37b440e2-656c-b624-0688-b7cf681bf981
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_OtherAssetsNoncurrent
calculation,label,loc_us-gaap_OtherAssetsNoncurrent_bd8545de-cfc2-6f31-bff6-ed0d4012c357
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,5
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Assets_17ef3f41-42f7-52c0-cba1-93e7e0e1116a
calculation,to,loc_us-gaap_OtherAssetsNoncurrent_bd8545de-cfc2-6f31-bff6-ed0d4012c357
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_OperatingLeaseRightOfUseAsset
calculation,label,loc_us-gaap_OperatingLeaseRightOfUseAsset_dcf3df0d-2155-35f6-715d-83a9bc9cf3fb
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,6
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Assets_17ef3f41-42f7-52c0-cba1-93e7e0e1116a
calculation,to,loc_us-gaap_OperatingLeaseRightOfUseAsset_dcf3df0d-2155-35f6-715d-83a9bc9cf3fb
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_LiabilitiesAndStockholdersEquity
calculation,label,loc_us-gaap_LiabilitiesAndStockholdersEquity_d7f1ad03-6ed4-706a-15fc-eae794dee33a
calculation,type,locator
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_Liabilities
calculation,label,loc_us-gaap_Liabilities_44863786-cbc4-bac4-e070-0a1f19314584
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesAndStockholdersEquity_d7f1ad03-6ed4-706a-15fc-eae794dee33a
calculation,to,loc_us-gaap_Liabilities_44863786-cbc4-bac4-e070-0a1f19314584
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_LiabilitiesCurrent
calculation,label,loc_us-gaap_LiabilitiesCurrent_30dca50d-a7bd-cff0-949a-3d7ae869c50d
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Liabilities_44863786-cbc4-bac4-e070-0a1f19314584
calculation,to,loc_us-gaap_LiabilitiesCurrent_30dca50d-a7bd-cff0-949a-3d7ae869c50d
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_AccountsPayableCurrent
calculation,label,loc_us-gaap_AccountsPayableCurrent_9c889623-7b4f-c89a-bbb3-2bc9fb9ad9f5
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent_30dca50d-a7bd-cff0-949a-3d7ae869c50d
calculation,to,loc_us-gaap_AccountsPayableCurrent_9c889623-7b4f-c89a-bbb3-2bc9fb9ad9f5
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_AccountsPayableOtherCurrent
calculation,label,loc_us-gaap_AccountsPayableOtherCurrent_4e9d34fb-2d2c-3732-b0a6-b1db605e9ae5
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent_30dca50d-a7bd-cff0-949a-3d7ae869c50d
calculation,to,loc_us-gaap_AccountsPayableOtherCurrent_4e9d34fb-2d2c-3732-b0a6-b1db605e9ae5
calculation,type,arc
calculation,item_type,calculation_loc
